,time_index,time,Fiji_%spatial_extent,New_Caledonia_%spatial_extent,Vanuatu_%spatial_extent,Wallis_and_Futuna_%spatial_extent,Solomon_Islands_%spatial_extent,Tonga_%spatial_extent,Samoa_%spatial_extent,Tuvalu_%spatial_extent,Niue_%spatial_extent,Cook_Islands_%spatial_extent,Tokelau_%spatial_extent,American_Samoa_%spatial_extent
0,1044,1995-11-11,0.0,11.753958587088915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1045,1995-11-12,0.0,7.551766138855055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1046,1995-11-13,0.0,3.8976857490864796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1047,1995-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1048,1995-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1049,1995-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,104,1993-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3330821401657875,0.0,0.0
0,1050,1995-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1051,1995-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1052,1995-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1053,1995-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1054,1995-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1055,1995-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1056,1995-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1057,1995-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1058,1995-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1059,1995-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,105,1993-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7678975131876418,0.0,0.0
0,1060,1995-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1061,1995-11-28,0.0,4.202192448233861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1062,1995-11-29,0.0,4.6285018270401945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1063,1995-11-30,0.0,4.872107186358099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1064,1995-12-01,0.0,5.115712545676005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1065,1995-12-02,0.0,10.840438489646772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1066,1995-12-03,0.0,10.962241169305726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1067,1995-12-04,0.0,11.084043848964678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1068,1995-12-05,0.0,11.0231425091352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1069,1995-12-06,0.0,9.683313032886723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,106,1993-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4664657121326297,0.0,0.0
0,1070,1995-12-07,0.0,4.750304506699147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1071,1995-12-08,0.0,2.6187576126674785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1072,1995-12-09,0.0,0.3654080389768575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1073,1995-12-10,0.0,0.42630937880633374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1074,1995-12-11,0.0,0.3654080389768575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1075,1995-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1076,1995-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1077,1995-12-14,0.0,7.490864799025579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1078,1995-12-15,0.0,7.429963459196102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1079,1995-12-16,0.0,6.699147381242387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,107,1993-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4114544084400906,0.0,0.0
0,1080,1995-12-17,0.0,6.333739342265529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1081,1995-12-18,0.0,4.933008526187576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1082,1995-12-19,12.11092246745897,4.933008526187576,0.0,20.738636363636363,0.0,18.95991332611051,0.0,0.0,3.4403669724770642,0.0,0.0,0.0
0,1083,1995-12-20,29.14544425580079,0.0,0.0,25.568181818181817,0.37611659614480486,27.193932827735644,19.767441860465116,7.07070707070707,3.4403669724770642,0.0,0.0,0.36496350364963503
0,1084,1995-12-21,41.82229767968308,0.06090133982947624,34.58382180539273,43.18181818181818,2.350728725905031,39.978331527627304,20.930232558139537,7.6767676767676765,3.89908256880734,0.0,0.0,4.197080291970803
0,1085,1995-12-22,40.294284097340125,0.0,0.0,43.75,0.37611659614480486,45.17876489707476,21.511627906976745,7.6767676767676765,4.3577981651376145,0.0,0.0,4.37956204379562
0,1086,1995-12-23,38.93604980192416,0.0,25.205158264947247,42.32954545454545,2.444757874941232,49.945828819068254,21.511627906976745,7.6767676767676765,6.422018348623854,0.0,0.0,6.204379562043796
0,1087,1995-12-24,44.87832484436899,0.0,22.743259085580306,44.60227272727273,3.5260930888575457,60.88840736728061,19.767441860465116,7.6767676767676765,7.79816513761468,0.0,0.0,6.204379562043796
0,1088,1995-12-25,49.9151103565365,0.0,19.695193434935522,43.465909090909086,3.9492242595204514,73.88949079089923,19.767441860465116,7.575757575757576,7.79816513761468,0.0,0.0,6.204379562043796
0,1089,1995-12-26,54.66893039049236,0.0,20.398593200468934,38.06818181818182,3.9492242595204514,80.60671722643553,19.767441860465116,6.8686868686868685,7.79816513761468,0.0,0.0,5.656934306569343
0,108,1993-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8839487565938209,0.0,0.0
0,1090,1995-12-27,52.63157894736842,0.0,18.99179366940211,29.829545454545453,3.8551951104842503,78.43986998916577,9.30232558139535,5.95959595959596,7.79816513761468,0.0,0.0,4.37956204379562
0,1091,1995-12-28,48.6700622524052,0.0,17.23329425556858,17.897727272727273,3.5731076633756462,76.48970747562296,7.55813953488372,4.646464646464646,6.651376146788992,0.0,0.0,2.18978102189781
0,1092,1995-12-29,31.352574985851728,0.0,0.0,14.204545454545455,0.0,73.13109425785483,4.069767441860465,0.0,5.5045871559633035,0.0,0.0,1.4598540145985401
0,1093,1995-12-30,29.37181663837012,0.0,0.0,12.5,0.0,71.61430119176599,4.069767441860465,0.0,5.275229357798166,0.0,0.0,0.0
0,1094,1995-12-31,23.316355404640635,0.0,0.0,12.5,0.0,64.68039003250271,4.069767441860465,0.0,5.275229357798166,0.0,0.0,0.0
0,1095,1996-01-01,4.697226938313525,0.0,0.0,10.511363636363637,0.0,49.187432286023835,2.9069767441860463,0.0,4.81651376146789,0.0,0.0,0.0
0,1096,1996-01-02,1.1884550084889642,0.0,0.0,0.0,0.0,42.47020585048754,1.744186046511628,0.0,2.293577981651376,0.0,0.0,0.0
0,1097,1996-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1098,1996-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1099,1996-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,109,1993-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,1993-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1100,1996-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1101,1996-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
