,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-19.83333396911621,164.25,828,832,830,1995-04-09,1995-04-13,1995-04-11,5,0.9699482456330273,0.8626737286967554,4.313368643483777,Moderate,0.08079991494455711,0.14337655344316858,2,2
1,New Caledonia,-19.83333396911621,164.25,840,848,844,1995-04-21,1995-04-29,1995-04-25,9,0.9089041679136223,0.7409957010686207,6.668961309617586,Moderate,0.06716962014474998,0.06837401167893652,4,4
2,New Caledonia,-19.83333396911621,164.25,1081,1086,1082,1995-12-18,1995-12-23,1995-12-19,6,1.2676797066965442,1.0757916973483213,6.454750184089928,Moderate,0.20461900772586952,0.08239582704386884,1,4
3,New Caledonia,-19.83333396911621,164.25,1148,1161,1156,1996-02-23,1996-03-07,1996-03-02,14,1.360786407224598,1.0485691123294427,14.679967572612199,Moderate,0.06408734113486941,0.11439542686484862,8,5
4,New Caledonia,-19.83333396911621,164.25,1211,1217,1214,1996-04-26,1996-05-02,1996-04-29,7,0.7251036859327691,0.6824291246827257,4.77700387277908,Moderate,0.030179933468864766,0.03188742360761105,3,3
5,New Caledonia,-19.83333396911621,164.25,1288,1292,1290,1996-07-12,1996-07-16,1996-07-14,5,0.9567695740730535,0.8948506632158839,4.47425331607942,Moderate,0.07617789237730008,0.07551084949124202,2,2
6,New Caledonia,-19.83333396911621,164.25,1433,1437,1434,1996-12-04,1996-12-08,1996-12-05,5,1.2459528523106727,1.1235600871424516,5.617800435712258,Moderate,0.1498393397177414,0.06958444656864263,1,3
7,New Caledonia,-19.83333396911621,164.25,1670,1674,1672,1997-07-29,1997-08-02,1997-07-31,5,0.8456734688051242,0.787874664798857,3.9393733239942854,Moderate,0.05895068260930998,0.033128135435043046,2,2
8,New Caledonia,-19.83333396911621,164.25,1938,1945,1943,1998-04-23,1998-04-30,1998-04-28,8,1.0629039887459015,0.8478839781976513,6.78307182558121,Moderate,0.081714389610848,0.1742194637175544,5,2
9,New Caledonia,-19.83333396911621,164.25,2011,2017,2013,1998-07-05,1998-07-11,1998-07-07,7,0.8339171255788536,0.8039217918149895,5.627452542704926,Moderate,0.02990526999196703,0.032180075149810645,2,4
10,New Caledonia,-19.83333396911621,164.25,2023,2036,2026,1998-07-17,1998-07-30,1998-07-20,14,0.9490427201794098,0.8127244870234224,11.378142818327913,Moderate,0.057146063598071555,0.020616633917696567,3,10
11,New Caledonia,-19.83333396911621,164.25,2044,2049,2046,1998-08-07,1998-08-12,1998-08-09,6,1.1045369794291737,0.953821315560282,5.7229278933616925,Moderate,0.1495176745999231,0.07137844419698933,2,3
12,New Caledonia,-19.83333396911621,164.25,2060,2071,2064,1998-08-23,1998-09-03,1998-08-27,12,1.2404251098632741,1.1587165248009432,13.904598297611319,Moderate,0.06220046422814621,0.033761994556713165,4,7
13,New Caledonia,-19.83333396911621,164.25,2077,2086,2084,1998-09-09,1998-09-18,1998-09-16,10,1.4348427557176144,1.1805594721148107,11.805594721148108,Moderate,0.05304580196257452,0.2569047989383833,7,2
14,New Caledonia,-19.83333396911621,164.25,2105,2133,2130,1998-10-07,1998-11-04,1998-11-01,29,1.9228347655265559,1.4155943131155104,41.0522350803498,Strong,0.046754159028585644,0.25735709194763395,25,3
15,New Caledonia,-19.83333396911621,164.25,2199,2205,2203,1999-01-09,1999-01-15,1999-01-13,7,1.2700396507017118,1.1233419251332113,7.8633934759324795,Moderate,0.056463084340523134,0.11229540917181283,4,2
16,New Caledonia,-19.83333396911621,164.25,2271,2295,2287,1999-03-22,1999-04-15,1999-04-07,25,1.2789707799111554,0.9852989024500666,24.632472561251664,Moderate,0.036847827721201064,0.08006919991132978,16,8
17,New Caledonia,-19.83333396911621,164.25,2991,3017,3000,2001-03-11,2001-04-06,2001-03-20,27,1.489249198667462,1.1486977004093346,31.014837911052034,Strong,0.06627000248492851,0.054913182412424634,9,17
18,New Caledonia,-19.83333396911621,164.25,3198,3204,3199,2001-10-04,2001-10-10,2001-10-05,7,1.1651028663881426,1.022948410104501,7.160638870731507,Moderate,0.201779826994868,0.06663454452917444,1,5
19,New Caledonia,-19.83333396911621,164.25,3262,3303,3283,2001-12-07,2002-01-17,2001-12-28,42,1.9778321173883242,1.3445904888498805,56.472800531694986,Moderate,0.04794211505680992,0.04731667801491568,21,20
