,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-20.66666603088379,161.5833282470703,816,832,830,1995-03-28,1995-04-13,1995-04-11,17,1.3036012341899266,0.9555590193457137,16.244503328877133,Moderate,0.03439047816597978,0.21058852903304554,14,2
1,New Caledonia,-20.66666603088379,161.5833282470703,1152,1162,1156,1996-02-27,1996-03-08,1996-03-02,11,1.2618364518688594,1.0091453619366897,11.100598981303587,Moderate,0.09444190268020829,0.07900632758886034,4,6
2,New Caledonia,-20.66666603088379,161.5833282470703,1433,1442,1438,1996-12-04,1996-12-13,1996-12-09,10,1.690680596136282,1.454330684292703,14.54330684292703,Moderate,0.10842399373432149,0.09508689415497666,5,4
3,New Caledonia,-20.66666603088379,161.5833282470703,1812,1822,1813,1997-12-18,1997-12-28,1997-12-19,11,1.4099424423710047,1.2327915818110946,13.560707399922041,Moderate,0.20631915266796005,0.024578201345758582,1,9
4,New Caledonia,-20.66666603088379,161.5833282470703,1929,1955,1933,1998-04-14,1998-05-10,1998-04-18,27,1.3786381136986563,1.0851402100411494,29.298785671111034,Moderate,0.12032891687099302,0.029655036789542302,4,22
5,New Caledonia,-20.66666603088379,161.5833282470703,1962,1987,1970,1998-05-17,1998-06-11,1998-05-25,26,1.0911435158022051,0.8811365747570143,22.909550943682373,Moderate,0.04756067192758116,0.016602063508627245,8,17
6,New Caledonia,-20.66666603088379,161.5833282470703,2004,2014,2007,1998-06-28,1998-07-08,1998-07-01,11,1.0320737900272547,0.928534057482949,10.21387463231244,Moderate,0.052094129922753245,0.03396971507739129,3,7
7,New Caledonia,-20.66666603088379,161.5833282470703,2026,2055,2046,1998-07-20,1998-08-18,1998-08-09,30,1.15022616232595,0.8950833638509129,26.852500915527386,Moderate,0.019816298826204,0.037479776275582605,20,9
8,New Caledonia,-20.66666603088379,161.5833282470703,2059,2114,2094,1998-08-22,1998-10-16,1998-09-26,56,1.8075253886561207,1.3285491752185024,74.39875381223614,Moderate,0.03045804129032468,0.050248793595236596,35,20
9,New Caledonia,-20.66666603088379,161.5833282470703,2275,2289,2285,1999-03-26,1999-04-09,1999-04-05,15,1.2485807480350637,1.1064921717489935,16.597382576234903,Moderate,0.03953797183644745,0.10311545778773655,10,4
10,New Caledonia,-20.66666603088379,161.5833282470703,2321,2331,2325,1999-05-11,1999-05-21,1999-05-15,11,1.4427260121991523,1.2396348578489436,13.635983436338378,Strong,0.14921763293632,0.11187541100286598,4,6
11,New Caledonia,-20.66666603088379,161.5833282470703,2501,2506,2503,1999-11-07,1999-11-12,1999-11-09,6,1.8285987607894434,1.4751365723148453,8.850819433889072,Moderate,0.41589659413983926,0.22041660080307782,2,3
12,New Caledonia,-20.66666603088379,161.5833282470703,2705,2716,2709,2000-05-29,2000-06-09,2000-06-02,12,1.1244071837394465,1.0055732675778002,12.066879210933603,Moderate,0.07373982091103709,0.04945327594715986,4,7
13,New Caledonia,-20.66666603088379,161.5833282470703,2997,3003,3001,2001-03-17,2001-03-23,2001-03-21,7,1.2572663830172637,1.0769154245402954,7.538407971782068,Moderate,0.10636507396629666,0.17563715288715898,4,2
14,New Caledonia,-20.66666603088379,161.5833282470703,3278,3301,3295,2001-12-23,2002-01-15,2002-01-09,24,2.10059018288889,1.5510614046486453,37.22547371156749,Strong,0.06510514114309547,0.20008602095005165,17,6
15,New Caledonia,-20.66666603088379,161.5833282470703,3316,3326,3324,2002-01-30,2002-02-09,2002-02-07,11,1.4934712071572633,1.1342598587886363,12.476858446675,Moderate,0.08436492543519195,0.24920787196005634,8,2
16,New Caledonia,-20.66666603088379,161.5833282470703,3451,3460,3454,2002-06-14,2002-06-23,2002-06-17,10,1.607211205267138,1.1084665729153549,11.08466572915355,Strong,0.2685010180495294,0.12605917010058848,3,6
17,New Caledonia,-20.66666603088379,161.5833282470703,3785,3797,3792,2003-05-14,2003-05-26,2003-05-21,13,1.4714147506221664,1.1881363066491093,15.44577198643842,Strong,0.09752405638335873,0.10640414509255791,7,5
18,New Caledonia,-20.66666603088379,161.5833282470703,4045,4078,4070,2004-01-29,2004-03-02,2004-02-23,34,1.4584900025398575,1.1657553931567475,39.63568336732941,Moderate,0.02122111504474561,0.08380635458785231,25,8
19,New Caledonia,-20.66666603088379,161.5833282470703,5271,5275,5273,2007-06-08,2007-06-12,2007-06-10,5,1.1179084162558333,0.9750324741486622,4.875162370743311,Moderate,0.14289499098254838,0.15818262407856593,2,2
20,New Caledonia,-20.66666603088379,161.5833282470703,5283,5289,5285,2007-06-20,2007-06-26,2007-06-22,7,1.233577666744111,1.0469144654164109,7.3284012579148765,Moderate,0.13382585587040197,0.09554648313898381,2,4
21,New Caledonia,-20.66666603088379,161.5833282470703,5293,5306,5301,2007-06-30,2007-07-13,2007-07-08,14,1.3195682648689484,1.0954452198221938,15.336233077510713,Moderate,0.058114484320102126,0.09869041890342894,8,5
22,New Caledonia,-20.66666603088379,161.5833282470703,5395,5399,5397,2007-10-10,2007-10-14,2007-10-12,5,1.5390951710362586,1.3501936020389684,6.750968010194843,Moderate,0.20106530958606328,0.3439751040550966,2,2
23,New Caledonia,-20.66666603088379,161.5833282470703,5424,5429,5426,2007-11-08,2007-11-13,2007-11-10,6,1.7130651781635855,1.3171173834031613,7.902704300418968,Moderate,0.3327005078715658,0.21232057386828934,2,3
24,New Caledonia,-20.66666603088379,161.5833282470703,5513,5525,5522,2008-02-05,2008-02-17,2008-02-14,13,1.5233706197431047,1.1725966025227106,15.243755832795237,Moderate,0.06135196070517255,0.15653642751104715,9,3
