,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-23.5,168.0,1052,1060,1058,1995-11-19,1995-11-27,1995-11-25,9,1.5340026117140262,1.2885507426381528,11.596956683743375,Moderate,0.090944133976258,0.19972558790637648,6,2
1,New Caledonia,-23.5,168.0,1106,1112,1108,1996-01-12,1996-01-18,1996-01-14,7,1.6445945001417606,1.3385471660420645,9.369830162294452,Moderate,0.18300605281706767,0.12954647652137258,2,4
2,New Caledonia,-23.5,168.0,1373,1378,1376,1996-10-05,1996-10-10,1996-10-08,6,1.4686663227696606,1.341264755495135,8.04758853297081,Moderate,0.0635222246020629,0.1749959145822828,3,2
3,New Caledonia,-23.5,168.0,1802,1822,1810,1997-12-08,1997-12-28,1997-12-16,21,2.0620275928128144,1.6975575753254468,35.64870908183438,Moderate,0.12198254912808897,0.06590824004142519,8,12
4,New Caledonia,-23.5,168.0,1940,1984,1953,1998-04-25,1998-06-08,1998-05-08,45,2.203739043205019,1.5585414900147374,70.13436705066319,Strong,0.09337495418717241,0.045561385655244376,13,31
5,New Caledonia,-23.5,168.0,1990,2067,1994,1998-06-14,1998-08-30,1998-06-18,78,2.1634353514640594,1.5426397063300283,120.32589709374221,Strong,0.27248182262570947,0.017969972762408595,4,73
6,New Caledonia,-23.5,168.0,2091,2119,2112,1998-09-23,1998-10-21,1998-10-14,29,2.024051358622895,1.4750564371518506,42.776636677403665,Moderate,0.0581459723642154,0.10577843778876925,21,7
7,New Caledonia,-23.5,168.0,2123,2131,2130,1998-10-25,1998-11-02,1998-11-01,9,1.4441635993219286,1.3009057882438921,11.708152094195029,Moderate,0.05491155808971868,0.2150500512892203,7,1
8,New Caledonia,-23.5,168.0,2191,2211,2199,1999-01-01,1999-01-21,1999-01-09,21,2.265392241939427,1.6134336591682494,33.88210684253324,Strong,0.13215576403507528,0.0990676584551413,8,12
9,New Caledonia,-23.5,168.0,2250,2299,2287,1999-03-01,1999-04-19,1999-04-07,50,2.204565294327274,1.62957557062949,81.4787785314745,Strong,0.03350200776130923,0.0999568151658579,37,12
10,New Caledonia,-23.5,168.0,2896,2901,2900,2000-12-06,2000-12-11,2000-12-10,6,1.3751560334236395,1.2697400021296683,7.618440012778009,Moderate,0.0759817280649714,0.18818237960979425,4,1
11,New Caledonia,-23.5,168.0,2948,2953,2952,2001-01-27,2001-02-01,2001-01-31,6,1.654174250941125,1.3126242955525764,7.875745773315458,Moderate,0.15876731052193488,0.39569838329027957,4,1
12,New Caledonia,-23.5,168.0,2982,2999,2995,2001-03-02,2001-03-19,2001-03-15,18,1.5871877362651219,1.3344996257494854,24.020993263490737,Moderate,0.04929969359184838,0.12509607841464365,13,4
13,New Caledonia,-23.5,168.0,3166,3170,3167,2001-09-02,2001-09-06,2001-09-03,5,1.1113363081409027,0.9990985870361285,4.995492935180643,Moderate,0.13366098301384946,0.0735690736550885,1,3
14,New Caledonia,-23.5,168.0,3290,3297,3295,2002-01-04,2002-01-11,2002-01-09,8,1.577129302486302,1.3920178490300326,11.13614279224026,Moderate,0.07700487175994684,0.18926887512207174,5,2
15,New Caledonia,-23.5,168.0,3323,3332,3329,2002-02-06,2002-02-15,2002-02-12,10,1.8957446313673572,1.4608802241663863,14.608802241663863,Moderate,0.13493554467894733,0.2298696843160479,6,3
16,New Caledonia,-23.5,168.0,3757,3767,3760,2003-04-16,2003-04-26,2003-04-19,11,1.2612521879134668,1.1355123827534355,12.49063621028779,Moderate,0.13197057697630246,0.03929148848338855,3,7
17,New Caledonia,-23.5,168.0,3837,3843,3838,2003-07-05,2003-07-11,2003-07-06,7,1.323516968757879,1.1454898465064258,8.018428925544981,Moderate,0.2604434515840251,0.08888247425605268,1,5
18,New Caledonia,-23.5,168.0,3851,3867,3863,2003-07-19,2003-08-04,2003-07-31,17,1.2944600505213586,1.0932141508504132,18.584640564457025,Moderate,0.034252019082346694,0.0854590836391651,12,4
19,New Caledonia,-23.5,168.0,3871,3876,3871,2003-08-08,2003-08-13,2003-08-08,6,1.0928334266908735,1.0384288500714085,6.230573100428451,Moderate,0.20516401721584998,0.03953236778460643,0,5
20,New Caledonia,-23.5,168.0,4049,4062,4052,2004-02-02,2004-02-15,2004-02-05,14,1.4945740853586535,1.225343502062264,17.154809028871696,Moderate,0.12828577278945832,0.04519631639237381,3,10
21,New Caledonia,-23.5,168.0,4069,4073,4072,2004-02-22,2004-02-26,2004-02-25,5,1.249994339481475,1.1222244016585818,5.611122008292909,Moderate,0.08589891354608982,0.22818130575200612,3,1
22,New Caledonia,-23.5,168.0,4424,4431,4427,2005-02-11,2005-02-18,2005-02-14,8,1.8172126277800658,1.3378682444172605,10.702945955338084,Moderate,0.26679690312680193,0.1724109718021971,3,4
23,New Caledonia,-23.5,168.0,4841,4849,4846,2006-04-04,2006-04-12,2006-04-09,9,1.2055302896807234,1.0834319343703613,9.750887409333252,Moderate,0.07363341770563539,0.08826014083651249,5,3
24,New Caledonia,-23.5,168.0,5368,5382,5373,2007-09-13,2007-09-27,2007-09-18,15,1.6745522406793434,1.3588125946701248,20.382188920051874,Moderate,0.15165546562664678,0.07502640690180173,5,9
25,New Caledonia,-23.5,168.0,5387,5403,5395,2007-10-02,2007-10-18,2007-10-10,17,1.705050991427516,1.4197427543336143,24.135626823671444,Moderate,0.08687528577656234,0.08110252684388708,8,8
26,New Caledonia,-23.5,168.0,5423,5428,5424,2007-11-07,2007-11-12,2007-11-08,6,1.5740838204660754,1.3802325648646192,8.281395389187715,Moderate,0.36119973787697407,0.13395602045093546,1,4
27,New Caledonia,-23.5,168.0,5573,5598,5581,2008-04-05,2008-04-30,2008-04-13,26,1.426220986150927,1.1525450439074494,29.966171141593684,Moderate,0.08914572916628044,0.02564519187821779,8,17
28,New Caledonia,-23.5,168.0,5722,5730,5729,2008-09-01,2008-09-09,2008-09-08,9,1.5941971809633273,1.1580638338588,10.422574504729202,Moderate,0.09203617547147971,0.41797767146941095,7,1
29,New Caledonia,-23.5,168.0,5798,5802,5799,2008-11-16,2008-11-20,2008-11-17,5,1.511832268007339,1.2718196253622707,6.359098126811354,Moderate,0.40085913545342083,0.17834781172088704,1,3
30,New Caledonia,-23.5,168.0,5826,5832,5827,2008-12-14,2008-12-20,2008-12-15,7,1.6564781435074316,1.4301668509909626,10.011167956936738,Moderate,0.3586461877310138,0.06643418342836424,1,5
31,New Caledonia,-23.5,168.0,5839,5863,5843,2008-12-27,2009-01-20,2008-12-31,25,2.4661507145051047,1.8392183882190338,45.980459705475845,Strong,0.2601871763933505,0.06821831073655928,4,20
32,New Caledonia,-23.5,168.0,5892,5903,5895,2009-02-18,2009-03-01,2009-02-21,12,1.5031101472916184,1.27592549272763,15.31110591273156,Moderate,0.12185383282498817,0.05125625581397569,3,8
33,New Caledonia,-23.5,168.0,5960,5974,5963,2009-04-27,2009-05-11,2009-04-30,15,1.5739651341592094,1.2199693454209215,18.299540181313823,Moderate,0.1892804088680425,0.05489998077777737,3,11
34,New Caledonia,-23.5,168.0,6406,6415,6411,2010-07-17,2010-07-26,2010-07-22,10,1.7553259326565644,1.5033335839548374,15.033335839548375,Strong,0.17182840699674173,0.1704199596117905,5,4
35,New Caledonia,-23.5,168.0,6653,6659,6655,2011-03-21,2011-03-27,2011-03-23,7,1.4047080009214348,1.1767713924706835,8.237399747294784,Moderate,0.17637079300418962,0.1086363228418487,2,4
36,New Caledonia,-23.5,168.0,6700,6741,6734,2011-05-07,2011-06-17,2011-06-10,42,1.7270261702999044,1.2515932777510292,52.56691766554323,Moderate,0.02324256611628315,0.1133601075859481,34,7
37,New Caledonia,-23.5,168.0,6918,6922,6921,2011-12-11,2011-12-15,2011-12-14,5,1.3764517999464445,1.2842843947872034,6.421421973936017,Moderate,0.0803250519361356,0.36135316664172734,3,1
38,New Caledonia,-23.5,168.0,7607,7628,7613,2013-10-30,2013-11-20,2013-11-05,22,1.7589967173914793,1.3312884244051861,29.288345336914094,Moderate,0.11161745038280967,0.04758773509967357,6,15
39,New Caledonia,-23.5,168.0,8069,8074,8071,2015-02-04,2015-02-09,2015-02-06,6,1.8424929341962297,1.345389878878035,8.07233927326821,Moderate,0.31738854685137313,0.2715488293203876,2,3
40,New Caledonia,-23.5,168.0,8096,8100,8096,2015-03-03,2015-03-07,2015-03-03,5,1.3392431197627879,1.1460129768617684,5.730064884308842,Moderate,0.3509647000220504,0.09224119152219462,0,4
41,New Caledonia,-23.5,168.0,8105,8113,8106,2015-03-12,2015-03-20,2015-03-13,9,1.3571166376913766,1.1214065961940323,10.09265936574629,Moderate,0.2458558031307767,0.0470676791283393,1,7
42,New Caledonia,-23.5,168.0,8373,8377,8375,2015-12-05,2015-12-09,2015-12-07,5,1.5497793997487719,1.3504873952557965,6.752436976278982,Moderate,0.2102782095632257,0.21194485079857586,2,2
43,New Caledonia,-23.5,168.0,8428,8440,8432,2016-01-29,2016-02-10,2016-02-02,13,1.9412874406383906,1.5047359513881535,19.561567368045996,Moderate,0.2585569197131734,0.11077811007707752,4,8
44,New Caledonia,-23.5,168.0,8562,8594,8578,2016-06-11,2016-07-13,2016-06-27,33,1.7224214615360438,1.3930917462062782,45.97202762480718,Moderate,0.05636545406874789,0.051441490941500384,16,16
45,New Caledonia,-23.5,168.0,8629,8639,8630,2016-08-17,2016-08-27,2016-08-18,11,1.259901723554055,1.1351037403005997,12.486141143306597,Moderate,0.19448825877199857,0.04195012220502442,1,9
46,New Caledonia,-23.5,168.0,8674,8692,8687,2016-10-01,2016-10-19,2016-10-14,19,1.769311597270356,1.387244239120615,26.357640543291687,Moderate,0.058555042444591976,0.13222170295603516,13,5
47,New Caledonia,-23.5,168.0,8857,8862,8859,2017-04-02,2017-04-07,2017-04-04,6,1.4267649496755332,1.1863654352003543,7.118192611202126,Moderate,0.19789469319005235,0.15088058506838312,2,3
48,New Caledonia,-23.5,168.0,9071,9078,9077,2017-11-02,2017-11-09,2017-11-08,8,1.5214715157785754,1.2317429742505523,9.853943794004419,Moderate,0.10626755991289591,0.35202225305701046,6,1
49,New Caledonia,-23.5,168.0,9294,9304,9299,2018-06-13,2018-06-23,2018-06-18,11,1.230171572777536,1.0777532236317457,11.855285459949204,Moderate,0.06036165522689982,0.05784885484801643,5,5
50,New Caledonia,-23.5,168.0,9381,9385,9384,2018-09-08,2018-09-12,2018-09-11,5,1.0884269591300715,1.0292054330148979,5.146027165074489,Moderate,0.07702275465161128,0.10911918968282563,3,1
51,New Caledonia,-23.5,168.0,10049,10077,10072,2020-07-07,2020-08-04,2020-07-30,29,1.1876000435121554,0.9918670654296847,28.764144897460856,Moderate,0.01362829921829738,0.05631909971712513,23,5
52,New Caledonia,-23.5,168.0,10143,10149,10148,2020-10-09,2020-10-15,2020-10-14,7,1.8694016241258247,1.4035032949140043,9.82452306439803,Moderate,0.1376406985643677,0.5674187034688991,5,1
53,New Caledonia,-23.5,168.0,10395,10405,10398,2021-06-18,2021-06-28,2021-06-21,11,1.3642792855539696,1.163569537076089,12.799264907836978,Moderate,0.12222902675927573,0.06965585524036062,3,7
54,New Caledonia,-23.5,168.0,10539,10548,10544,2021-11-09,2021-11-18,2021-11-14,10,1.8863951160061703,1.4061214816185708,14.061214816185707,Moderate,0.21206464236083147,0.18918530317190296,5,4
55,New Caledonia,-23.5,168.0,10567,10573,10572,2021-12-07,2021-12-13,2021-12-12,7,1.3680954594765957,1.2880634184806585,9.016443929364609,Moderate,0.06421740803201201,0.12187672686833413,5,1
56,New Caledonia,-23.5,168.0,10586,10590,10587,2021-12-26,2021-12-30,2021-12-27,5,1.7187349873204454,1.4821942483225192,7.410971241612597,Moderate,0.37482649280178987,0.19142347766507278,1,3
