,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-20.58333396911621,164.0,1041,1046,1044,1995-11-08,1995-11-13,1995-11-11,6,1.1506912477554785,1.0524946746005768,6.314968047603461,Moderate,0.056874763031709206,0.16571628201392344,3,2
1,New Caledonia,-20.58333396911621,164.0,1073,1080,1075,1995-12-10,1995-12-17,1995-12-12,8,1.494559441843343,1.374308909139328,10.994471273114623,Moderate,0.14432868957519673,0.06184451531105398,2,5
2,New Caledonia,-20.58333396911621,164.0,1106,1110,1107,1996-01-12,1996-01-16,1996-01-13,5,1.4766632818406613,1.2637078315980943,6.318539157990472,Moderate,0.3570462093558386,0.13630817782494375,1,3
3,New Caledonia,-20.58333396911621,164.0,1155,1164,1160,1996-03-01,1996-03-10,1996-03-06,10,1.2988495672902687,1.1118415217245725,11.118415217245726,Moderate,0.07166088361544257,0.07727477371051705,5,4
4,New Caledonia,-20.58333396911621,164.0,1208,1213,1211,1996-04-23,1996-04-28,1996-04-26,6,0.8744226271106328,0.8549259965137743,5.129555979082646,Moderate,0.011911110943913172,0.024805265857327185,3,2
5,New Caledonia,-20.58333396911621,164.0,1432,1443,1443,1996-12-03,1996-12-14,1996-12-14,12,1.5804480891073922,1.3072981629320373,15.687577955184448,Moderate,0.04306472200498011,0.7774236125330773,11,0
6,New Caledonia,-20.58333396911621,164.0,1796,1823,1812,1997-12-02,1997-12-29,1997-12-18,28,1.7359999995077828,1.4311422422734277,40.071982783655976,Moderate,0.04401068440397225,0.05086921274578462,16,11
7,New Caledonia,-20.58333396911621,164.0,1933,1958,1944,1998-04-18,1998-05-13,1998-04-29,26,1.5692022385135758,1.2804610652308286,33.29198769600154,Strong,0.06009674607286263,0.05425280060730989,11,14
8,New Caledonia,-20.58333396911621,164.0,1963,1973,1966,1998-05-18,1998-05-28,1998-05-21,11,1.0323421109107258,0.8696381577298808,9.56601973502869,Moderate,0.0807199873682539,0.05039351678663664,3,7
9,New Caledonia,-20.58333396911621,164.0,1984,1997,1994,1998-06-08,1998-06-21,1998-06-18,14,1.1490229945029,0.8409401458529275,11.773162041940985,Moderate,0.045585005330966426,0.19488168531848465,10,3
10,New Caledonia,-20.58333396911621,164.0,2006,2076,2046,1998-06-30,1998-09-08,1998-08-09,71,1.571117954869429,1.021524288934884,72.52822451437676,Strong,0.025856712338270218,0.030621413135579176,40,30
11,New Caledonia,-20.58333396911621,164.0,2080,2086,2084,1998-09-12,1998-09-18,1998-09-16,7,1.3974210677608419,0.9882056768039433,6.917439737627603,Strong,0.17998505322309397,0.27647570948447253,4,2
12,New Caledonia,-20.58333396911621,164.0,2092,2098,2095,1998-09-24,1998-09-30,1998-09-27,7,1.2252996506229508,1.0686093958841485,7.480265771189039,Moderate,0.20686632147582426,0.11613107496692164,3,3
13,New Caledonia,-20.58333396911621,164.0,2102,2133,2130,1998-10-04,1998-11-04,1998-11-01,32,2.0569034084197,1.7461663561482583,55.877323396744266,Strong,0.035662322376296504,0.31182101904521936,28,3
