,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-21.33333396911621,167.75,1106,1111,1107,1996-01-12,1996-01-17,1996-01-13,6,1.4874019007528965,1.2267197537165788,7.3603185222994725,Moderate,0.2608398724627759,0.11489674011011806,1,4
1,New Caledonia,-21.33333396911621,167.75,1148,1168,1161,1996-02-23,1996-03-14,1996-03-07,21,1.3386214163995547,1.0715070027177045,22.501647057071793,Moderate,0.046728425840607955,0.060089841452977785,13,7
2,New Caledonia,-21.33333396911621,167.75,1202,1207,1207,1996-04-17,1996-04-22,1996-04-22,6,1.028681970411732,0.960640876523908,5.763845259143448,Moderate,0.03357523697212692,0.13792253309680547,5,0
3,New Caledonia,-21.33333396911621,167.75,1429,1435,1434,1996-11-30,1996-12-06,1996-12-05,7,1.3896605583929258,1.2569594405213813,8.79871608364967,Moderate,0.08350983113487426,0.18254234970256888,5,1
4,New Caledonia,-21.33333396911621,167.75,1927,1986,1943,1998-04-12,1998-06-10,1998-04-28,60,1.5019688144806977,1.1731963516563506,70.39178109938103,Moderate,0.04015325730846808,0.014315658558020724,16,43
5,New Caledonia,-21.33333396911621,167.75,2030,2039,2036,1998-07-24,1998-08-02,1998-07-30,10,1.03425721199282,0.9078395474341623,9.078395474341622,Moderate,0.03660703711119267,0.09795243399483818,6,3
6,New Caledonia,-21.33333396911621,167.75,2045,2073,2055,1998-08-08,1998-09-05,1998-08-18,29,1.5309611289731961,1.2081821938112673,35.03728362052675,Moderate,0.06629404457666578,0.030694673865799545,10,18
7,New Caledonia,-21.33333396911621,167.75,2103,2114,2113,1998-10-05,1998-10-16,1998-10-15,12,1.7429129077542207,1.2201112829228868,14.641335395074641,Moderate,0.07916146379462032,0.347085173412039,10,1
8,New Caledonia,-21.33333396911621,167.75,2165,2187,2185,1998-12-06,1998-12-28,1998-12-26,23,1.872015553136027,1.3460722196988275,30.959661053073035,Moderate,0.038582017719980176,0.3949005373062633,20,2
9,New Caledonia,-21.33333396911621,167.75,2252,2299,2267,1999-03-03,1999-04-19,1999-03-18,48,1.7368616903981824,1.2200581867207767,58.562792962597285,Moderate,0.055037390305025795,0.027226284774893864,15,32
10,New Caledonia,-21.33333396911621,167.75,2496,2506,2504,1999-11-02,1999-11-12,1999-11-10,11,1.7095807598483184,1.30656564550316,14.37222210053476,Moderate,0.08470626845531642,0.2783961142263102,8,2
11,New Caledonia,-21.33333396911621,167.75,2754,2760,2757,2000-07-17,2000-07-23,2000-07-20,7,1.0295141281620168,0.9547506323607878,6.683254426525515,Moderate,0.04225292293706774,0.07625953393048437,3,3
12,New Caledonia,-21.33333396911621,167.75,2990,3000,2995,2001-03-10,2001-03-20,2001-03-15,11,1.3791531285931988,1.2030080140860526,13.233088154946579,Moderate,0.0971962154086386,0.10003375727410231,5,5
13,New Caledonia,-21.33333396911621,167.75,3160,3175,3168,2001-08-27,2001-09-11,2001-09-04,16,1.4232062062909598,1.147146532612464,18.354344521799423,Moderate,0.053993091185134706,0.07113329569498769,8,7
14,New Caledonia,-21.33333396911621,167.75,3224,3230,3228,2001-10-30,2001-11-05,2001-11-03,7,1.825733307869207,1.4528578129781609,10.170004690847126,Moderate,0.17126600203975467,0.3576402233492956,4,2
15,New Caledonia,-21.33333396911621,167.75,3245,3249,3247,2001-11-20,2001-11-24,2001-11-22,5,1.5466770049064387,1.2616658856791836,6.308329428395918,Moderate,0.2613757348829694,0.22272031230311243,2,2
16,New Caledonia,-21.33333396911621,167.75,3261,3267,3263,2001-12-06,2001-12-12,2001-12-08,7,1.7050012157809356,1.3220601059874089,9.254420741911861,Moderate,0.25338532232469146,0.16514234645392317,2,4
17,New Caledonia,-21.33333396911621,167.75,3280,3285,3283,2001-12-25,2001-12-30,2001-12-28,6,1.634266514931955,1.3637440794257707,8.182464476554625,Moderate,0.18139312673823632,0.23323839249149358,3,2
18,New Caledonia,-21.33333396911621,167.75,3289,3303,3295,2002-01-03,2002-01-17,2002-01-09,15,1.997167648807654,1.4452867651498447,21.67930147724767,Moderate,0.1150872535800229,0.11182077831290162,6,8
19,New Caledonia,-21.33333396911621,167.75,3316,3335,3329,2002-01-30,2002-02-18,2002-02-12,20,1.3939200985816207,1.0747398822538339,21.494797645076677,Moderate,0.03367386411167791,0.10609533059094098,13,6
20,New Caledonia,-21.33333396911621,167.75,3829,3846,3840,2003-06-27,2003-07-14,2003-07-08,18,1.8123160331479973,1.3727887608244425,24.710197694839966,Strong,0.08000588116104114,0.14235976907810566,11,6
21,New Caledonia,-21.33333396911621,167.75,4046,4054,4051,2004-01-30,2004-02-07,2004-02-04,9,1.333191594769879,1.1162556268835613,10.046300641952051,Moderate,0.09354144457148647,0.155185347877889,5,3
22,New Caledonia,-21.33333396911621,167.75,4662,4669,4666,2005-10-07,2005-10-14,2005-10-11,8,1.4032045179797734,1.2077425064579117,9.661940051663294,Moderate,0.08050043523097965,0.11795502763739359,4,3
23,New Caledonia,-21.33333396911621,167.75,4676,4680,4677,2005-10-21,2005-10-25,2005-10-22,5,1.2683880098404465,1.1451335291708709,5.7256676458543545,Moderate,0.15874013593120276,0.06333231596353325,1,3
24,New Caledonia,-21.33333396911621,167.75,4841,4874,4847,2006-04-04,2006-05-07,2006-04-10,34,1.572203420823623,1.2179509114042892,41.41033098774584,Moderate,0.11691247263262329,0.02472407433294473,6,27
25,New Caledonia,-21.33333396911621,167.75,5364,5383,5373,2007-09-09,2007-09-28,2007-09-18,20,2.064708032915668,1.4312455731053517,28.624911462107033,Strong,0.11919740505250874,0.10858065521662058,9,10
26,New Caledonia,-21.33333396911621,167.75,5482,5489,5485,2008-01-05,2008-01-12,2008-01-08,8,2.018283351775139,1.6349737798014008,13.079790238411206,Moderate,0.2200640137843816,0.22087267393707005,3,4
27,New Caledonia,-21.33333396911621,167.75,5548,5554,5550,2008-03-11,2008-03-17,2008-03-13,7,1.5273986016550367,1.1593209587483895,8.115246711238726,Moderate,0.2604883378551861,0.15023161775322436,2,4
28,New Caledonia,-21.33333396911621,167.75,5565,5569,5567,2008-03-28,2008-04-01,2008-03-30,5,1.069599274666082,0.8988814077069727,4.494407038534863,Moderate,0.12485894233949679,0.1248562228295114,2,2
29,New Caledonia,-21.33333396911621,167.75,5793,5808,5795,2008-11-11,2008-11-26,2008-11-13,16,1.6627702405375828,1.246880496701887,19.95008794723019,Moderate,0.2880466092017386,0.04716858128920252,2,13
30,New Caledonia,-21.33333396911621,167.75,5819,5857,5847,2008-12-07,2009-01-14,2009-01-04,39,2.2095923885222426,1.6503566429573617,64.3639090753371,Strong,0.04521848876124131,0.11708474342357957,28,10
31,New Caledonia,-21.33333396911621,167.75,5907,5911,5908,2009-03-05,2009-03-09,2009-03-06,5,1.2822056124287293,1.0430040851716065,5.215020425858032,Moderate,0.2514789745371869,0.12945694637738164,1,3
32,New Caledonia,-21.33333396911621,167.75,5961,5965,5964,2009-04-28,2009-05-02,2009-05-01,5,1.0915632555561778,0.9974169454267041,4.987084727133521,Moderate,0.05886122707947093,0.12925506919942956,3,1
33,New Caledonia,-21.33333396911621,167.75,6377,6390,6388,2010-06-18,2010-07-01,2010-06-29,14,1.2044682041291281,1.0118793364494088,14.166310710291722,Moderate,0.0305550563218383,0.10932143426710397,11,2
34,New Caledonia,-21.33333396911621,167.75,6396,6403,6398,2010-07-07,2010-07-14,2010-07-09,8,1.1268725241384168,1.018697946302352,8.149583570418816,Moderate,0.08059586555727094,0.0426120981792544,2,5
35,New Caledonia,-21.33333396911621,167.75,6410,6416,6412,2010-07-21,2010-07-27,2010-07-23,7,0.9819503291960707,0.9260075476861773,6.482052833803241,Moderate,0.046720750870242966,0.048494202261757775,2,4
36,New Caledonia,-21.33333396911621,167.75,6424,6430,6427,2010-08-04,2010-08-10,2010-08-07,7,1.0220575025004734,0.8919142973587861,6.243400081511503,Moderate,0.06988413762386918,0.062472699424637214,3,3
37,New Caledonia,-21.33333396911621,167.75,6441,6512,6489,2010-08-21,2010-10-31,2010-10-08,72,2.3881218202652477,1.5514084968088362,111.7014117702362,Strong,0.031138183192870598,0.059418911956807666,48,23
38,New Caledonia,-21.33333396911621,167.75,6578,6582,6580,2011-01-05,2011-01-09,2011-01-07,5,1.1808731325211106,1.1518269569643116,5.759134784821558,Moderate,0.03620612852035095,0.055105849235289384,2,2
39,New Caledonia,-21.33333396911621,167.75,6694,6749,6726,2011-05-01,2011-06-25,2011-06-02,56,1.8056965489541348,1.2539566628943941,70.22157312208607,Strong,0.026290706132836468,0.04566798867963327,32,23
40,New Caledonia,-21.33333396911621,167.75,6799,6815,6801,2011-08-14,2011-08-30,2011-08-16,17,1.4997753635529563,1.156389019294753,19.6586133280108,Moderate,0.2331075237643347,0.03611013647976936,2,14
41,New Caledonia,-21.33333396911621,167.75,6916,6923,6922,2011-12-09,2011-12-16,2011-12-15,8,1.5807714154643406,1.3629452105491406,10.903561684393125,Moderate,0.07760392939186563,0.36640224661878307,6,1
42,New Caledonia,-21.33333396911621,167.75,7027,7033,7030,2012-03-29,2012-04-04,2012-04-01,7,1.324900842482048,1.0373775025117271,7.261642517582089,Moderate,0.13935595393730185,0.14370311789798354,3,3
43,New Caledonia,-21.33333396911621,167.75,7121,7126,7125,2012-07-01,2012-07-06,2012-07-05,6,0.9407365860477555,0.9281681429955272,5.569008857973163,Moderate,0.012443761244468653,0.03135080234978934,4,1
44,New Caledonia,-21.33333396911621,167.75,7461,7465,7463,2013-06-06,2013-06-10,2013-06-08,5,0.9790260561050914,0.9201479388821519,4.600739694410759,Moderate,0.05122117073305077,0.0653899038991618,2,2
45,New Caledonia,-21.33333396911621,167.75,8069,8075,8071,2015-02-04,2015-02-10,2015-02-06,7,1.6183631650863184,1.0310875501500871,7.21761285105061,Strong,0.3230241590930568,0.2045543151089792,2,4
46,New Caledonia,-21.33333396911621,167.75,8095,8106,8099,2015-03-02,2015-03-13,2015-03-06,12,1.3077946016865418,1.1538690956689963,13.846429148027955,Moderate,0.09811280363349557,0.059032460694672294,4,7
47,New Caledonia,-21.33333396911621,167.75,8424,8451,8438,2016-01-25,2016-02-21,2016-02-08,28,2.505606435960342,1.8730003493172802,52.444009780883846,Severe,0.10366292577962086,0.11560220843717352,14,13
48,New Caledonia,-21.33333396911621,167.75,8548,8552,8550,2016-05-28,2016-06-01,2016-05-30,5,1.2444331261419457,1.10419722526304,5.520986126315201,Moderate,0.1339384632725867,0.13397787770917163,2,2
49,New Caledonia,-21.33333396911621,167.75,8557,8569,8562,2016-06-06,2016-06-18,2016-06-11,13,1.3959169695454285,1.2342689788666912,16.045496725266986,Moderate,0.09804986299307798,0.0636246383831067,5,7
50,New Caledonia,-21.33333396911621,167.75,8577,8617,8609,2016-06-26,2016-08-05,2016-07-28,41,1.3183871238462395,1.1024741976398087,45.20144210323216,Moderate,0.014058404169958238,0.05724220348263972,32,8
51,New Caledonia,-21.33333396911621,167.75,8669,8682,8677,2016-09-26,2016-10-09,2016-10-04,14,1.8996902588875066,1.3652348847982545,19.11328838717556,Moderate,0.11654347486694991,0.15999198309487284,8,5
52,New Caledonia,-21.33333396911621,167.75,8710,8723,8719,2016-11-06,2016-11-19,2016-11-15,14,2.3025469626149864,1.7128518627535916,23.97992607855028,Strong,0.1097937876987947,0.2566990117445648,9,4
53,New Caledonia,-21.33333396911621,167.75,8777,8781,8780,2017-01-12,2017-01-16,2017-01-15,5,1.4208220204999336,1.2116671654485862,6.0583358272429315,Moderate,0.1154312626008063,0.26912533339633765,3,1
54,New Caledonia,-21.33333396911621,167.75,9071,9079,9078,2017-11-02,2017-11-10,2017-11-09,9,1.7624605855634137,1.403549836955191,12.63194853259672,Moderate,0.08569586148825933,0.6258702637046886,7,1
55,New Caledonia,-21.33333396911621,167.75,9926,9937,9933,2020-03-06,2020-03-17,2020-03-13,12,1.644370571259529,1.1982262365279646,14.378714838335576,Moderate,0.10509115649807844,0.1622519407648346,7,4
56,New Caledonia,-21.33333396911621,167.75,10168,10173,10172,2020-11-03,2020-11-08,2020-11-07,6,1.8438214332826668,1.500373881350282,9.002243288101692,Moderate,0.17648560171913394,0.5431882386566483,4,1
57,New Caledonia,-21.33333396911621,167.75,10274,10287,10276,2021-02-17,2021-03-02,2021-02-19,14,1.2723141024189637,1.0596272472961712,14.834781462146395,Moderate,0.22148603623913346,0.0408929153378184,2,11
58,New Caledonia,-21.33333396911621,167.75,10525,10532,10530,2021-10-26,2021-11-02,2021-10-31,8,1.6760484018633548,1.3372469794365744,10.697975835492596,Moderate,0.118726646445714,0.26726447074644283,5,2
59,New Caledonia,-21.33333396911621,167.75,10542,10577,10553,2021-11-12,2021-12-17,2021-11-23,36,2.2174056268507414,1.7624030284129595,63.44650902286654,Strong,0.09639729824841906,0.04599549002832598,11,24
60,New Caledonia,-21.33333396911621,167.75,10585,10590,10587,2021-12-25,2021-12-30,2021-12-27,6,1.5760731850900953,1.4604097797024636,8.76245867821478,Moderate,0.21369687972530257,0.07408750331896183,2,3
61,New Caledonia,-21.33333396911621,167.75,10613,10629,10614,2022-01-22,2022-02-07,2022-01-23,17,1.2377970295567629,0.9814556418605288,16.68474591162899,Moderate,0.17754405031922124,0.02778460952171266,1,15
62,New Caledonia,-21.33333396911621,167.75,10727,10869,10811,2022-05-16,2022-10-05,2022-08-08,143,1.9971370697021484,1.4958871501093929,213.9118624656432,Strong,0.013587863919934787,0.01781311066708751,84,58
63,New Caledonia,-21.33333396911621,167.75,10878,10884,10882,2022-10-14,2022-10-20,2022-10-18,7,1.5983009953652605,1.31824296520602,9.22770075644214,Moderate,0.11374173454913558,0.23662318568075663,4,2
64,New Caledonia,-21.33333396911621,167.75,10893,10973,10932,2022-10-29,2023-01-17,2022-12-07,81,2.2565647863572664,1.7358148286941761,140.60100112422828,Strong,0.029198629800618027,0.03214998315662177,39,41
65,New Caledonia,-21.33333396911621,167.75,10981,11004,10993,2023-01-25,2023-02-17,2023-02-06,24,1.7814281217513575,1.3062169192939697,31.34920606305527,Strong,0.06827374366021957,0.09435218179710804,12,11
66,New Caledonia,-21.33333396911621,167.75,11056,11098,11084,2023-04-10,2023-05-22,2023-05-08,43,1.6253413538779036,1.1565737427398854,49.73267093781507,Moderate,0.024029757117037844,0.05254291878128556,28,14
