,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-19.91666603088379,164.4166717529297,841,848,844,1995-04-22,1995-04-29,1995-04-25,8,0.9788950027958094,0.8310180710208055,6.648144568166444,Moderate,0.07388818978164581,0.0802510511063347,3,4
1,New Caledonia,-19.91666603088379,164.4166717529297,1106,1113,1107,1996-01-12,1996-01-19,1996-01-13,8,1.5729180612871723,1.2403659128373694,9.922927302698955,Moderate,0.2809262634605491,0.09429456459973004,1,6
2,New Caledonia,-19.91666603088379,164.4166717529297,1148,1160,1156,1996-02-23,1996-03-06,1996-03-02,13,1.4149161923316278,1.0739605385375708,13.96148700098842,Moderate,0.07506886650534217,0.1320526164065146,8,4
3,New Caledonia,-19.91666603088379,164.4166717529297,1210,1217,1214,1996-04-25,1996-05-02,1996-04-29,8,0.7657537152690246,0.7152978527930496,5.722382822344397,Moderate,0.02557405861474946,0.0361196192728198,4,3
4,New Caledonia,-19.91666603088379,164.4166717529297,1288,1302,1291,1996-07-12,1996-07-26,1996-07-15,15,1.057827918760239,0.9402734079668591,14.104101119502886,Moderate,0.06690293413153522,0.024396551273982867,3,11
5,New Caledonia,-19.91666603088379,164.4166717529297,1432,1437,1434,1996-12-03,1996-12-08,1996-12-05,6,1.3237742762411813,1.1751940122214724,7.0511640733288345,Moderate,0.1399473005725497,0.08103025234239983,2,3
6,New Caledonia,-19.91666603088379,164.4166717529297,1939,1944,1942,1998-04-24,1998-04-29,1998-04-27,6,0.9955529858989145,0.8382472889397755,5.029483733638653,Moderate,0.09486542978594363,0.16522298013010542,3,2
7,New Caledonia,-19.91666603088379,164.4166717529297,2021,2029,2024,1998-07-15,1998-07-23,1998-07-18,9,1.0514159664030984,0.91934338094513,8.27409042850617,Moderate,0.07454999580910585,0.05105928661536619,3,5
8,New Caledonia,-19.91666603088379,164.4166717529297,2060,2068,2062,1998-08-23,1998-08-31,1998-08-25,9,1.301534160490963,1.2198387679233345,10.97854891131001,Moderate,0.09853663290700751,0.0333523478164873,2,6
9,New Caledonia,-19.91666603088379,164.4166717529297,2075,2085,2084,1998-09-07,1998-09-17,1998-09-16,11,1.3602758223010625,1.1952051794773633,13.147256974250997,Moderate,0.03801512920593359,0.3155223477271309,9,1
10,New Caledonia,-19.91666603088379,164.4166717529297,2105,2133,2130,1998-10-07,1998-11-04,1998-11-01,29,1.9346179346884433,1.4521682981124062,42.11288064525978,Strong,0.0463062940256115,0.33514544930875495,25,3
11,New Caledonia,-19.91666603088379,164.4166717529297,2199,2207,2203,1999-01-09,1999-01-17,1999-01-13,9,1.266056183845766,1.1050266416269408,9.945239774642467,Moderate,0.057417695240307154,0.0702445806140963,4,4
12,New Caledonia,-19.91666603088379,164.4166717529297,2266,2294,2287,1999-03-17,1999-04-14,1999-04-07,29,1.3532169095931579,0.9797571837835806,28.412958329723836,Strong,0.02584746862298484,0.09778037122500839,21,7
13,New Caledonia,-19.91666603088379,164.4166717529297,2990,3016,3000,2001-03-10,2001-04-05,2001-03-20,27,1.5289784708330743,1.1142749398982388,30.085423377252447,Strong,0.07802813540222887,0.04874076172053991,10,16
14,New Caledonia,-19.91666603088379,164.4166717529297,3198,3204,3203,2001-10-04,2001-10-10,2001-10-09,7,1.2142505030478254,1.077528465728061,7.542699260096427,Moderate,0.050749110336527986,0.23064428760159453,5,1
15,New Caledonia,-19.91666603088379,164.4166717529297,3262,3297,3283,2001-12-07,2002-01-11,2001-12-28,36,1.863594362812659,1.32923279868232,47.85238075256352,Moderate,0.040216092498161035,0.05921469063594436,21,14
16,New Caledonia,-19.91666603088379,164.4166717529297,3310,3325,3317,2002-01-24,2002-02-08,2002-01-31,16,1.6229171137655989,1.2456528525198702,19.930445640317924,Moderate,0.1115079654160366,0.07453473650300738,7,8
17,New Caledonia,-19.91666603088379,164.4166717529297,3451,3459,3456,2002-06-14,2002-06-22,2002-06-19,9,1.0409531131867418,0.8705815346010246,7.835233811409221,Moderate,0.07604405467461235,0.08918313936154425,5,3
18,New Caledonia,-19.91666603088379,164.4166717529297,3789,3802,3793,2003-05-18,2003-05-31,2003-05-22,14,0.8561445051623942,0.7808839736446289,10.932375631024804,Moderate,0.04860725539559536,0.03365834014322588,4,9
19,New Caledonia,-19.91666603088379,164.4166717529297,4051,4064,4060,2004-02-04,2004-02-17,2004-02-13,14,1.3599416671260762,1.1422753004434527,15.991854206208338,Moderate,0.04143718143068061,0.11472060090752044,9,4
20,New Caledonia,-19.91666603088379,164.4166717529297,4068,4078,4069,2004-02-21,2004-03-02,2004-02-22,11,1.219156572895674,0.9825165991909053,10.807682591099958,Moderate,0.21811429915889727,0.05041747425124735,1,9
21,New Caledonia,-19.91666603088379,164.4166717529297,4152,4159,4154,2004-05-15,2004-05-22,2004-05-17,8,0.7728308400800152,0.69197327090848,5.53578616726784,Moderate,0.05357688165479999,0.024093046216321055,2,5
22,New Caledonia,-19.91666603088379,164.4166717529297,4164,4173,4169,2004-05-27,2004-06-05,2004-06-01,10,0.769304152457952,0.73294005240164,7.3294005240164,Moderate,0.020451431050678984,0.022626275230053967,5,4
23,New Caledonia,-19.91666603088379,164.4166717529297,4414,4419,4418,2005-02-01,2005-02-06,2005-02-05,6,1.449726289318459,1.1479702406032157,6.887821443619295,Moderate,0.12525529075267075,0.267574187247984,4,1
24,New Caledonia,-19.91666603088379,164.4166717529297,4423,4427,4424,2005-02-10,2005-02-14,2005-02-11,5,1.126670160601222,1.0116557459677473,5.058278729838737,Moderate,0.1723546469083388,0.05893486655802249,1,3
25,New Caledonia,-19.91666603088379,164.4166717529297,4707,4711,4710,2005-11-21,2005-11-25,2005-11-24,5,1.0908149596183527,1.0591110721711203,5.295555360855602,Moderate,0.04258402811217315,0.06751372224541068,3,1
26,New Caledonia,-19.91666603088379,164.4166717529297,4844,4880,4860,2006-04-07,2006-05-13,2006-04-23,37,1.1957374695808696,0.9448771223153092,34.96045352566644,Moderate,0.029460877150967128,0.02861189673399011,16,20
27,New Caledonia,-19.91666603088379,164.4166717529297,5228,5237,5233,2007-04-26,2007-05-05,2007-05-01,10,1.1246244984288438,0.955281356073197,9.55281356073197,Moderate,0.08409231079638602,0.11153932797011655,5,4
28,New Caledonia,-19.91666603088379,164.4166717529297,5467,5471,5471,2007-12-21,2007-12-25,2007-12-25,5,1.6606622511340738,1.3734027247275051,6.867013623637526,Moderate,0.1600681906532644,0.6793806629796215,4,0
