,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-23.91666603088379,159.5,370,374,372,1994-01-06,1994-01-10,1994-01-08,5,1.2642373115785581,1.151859664916985,5.759298324584925,Moderate,0.18480935865832748,0.13850982419905974,2,2
1,New Caledonia,-23.91666603088379,159.5,815,830,822,1995-03-27,1995-04-11,1995-04-03,16,1.4897152070076238,1.1302736728422103,18.084378765475364,Moderate,0.11541418260143649,0.0804077271492254,7,8
2,New Caledonia,-23.91666603088379,159.5,1061,1076,1074,1995-11-28,1995-12-13,1995-12-11,16,1.7876597373716336,1.3895885098365097,22.233416157384156,Moderate,0.04086936987144282,0.26096975265010586,13,2
3,New Caledonia,-23.91666603088379,159.5,1101,1109,1106,1996-01-07,1996-01-15,1996-01-12,9,2.2420141158565343,1.5760546858592646,14.184492172733382,Strong,0.23828897448229308,0.38695509422759145,5,3
4,New Caledonia,-23.91666603088379,159.5,1123,1128,1125,1996-01-29,1996-02-03,1996-01-31,6,1.1615083755985438,1.0847430690642355,6.508458414385412,Moderate,0.048797090591924074,0.06035512054021603,2,3
5,New Caledonia,-23.91666603088379,159.5,1196,1210,1206,1996-04-11,1996-04-25,1996-04-21,15,1.2137795109902676,1.0503090766168393,15.75463614925259,Moderate,0.03176349575435365,0.11836672683770605,10,4
6,New Caledonia,-23.91666603088379,159.5,1437,1442,1439,1996-12-08,1996-12-13,1996-12-10,6,1.937319294098888,1.636635893134666,9.819815358807997,Moderate,0.3560631413613585,0.27791049623269515,2,3
7,New Caledonia,-23.91666603088379,159.5,1798,1823,1814,1997-12-04,1997-12-29,1997-12-20,26,2.3078804016113317,1.7776959918568842,46.22009578827899,Strong,0.06671242140604947,0.11586069777380253,16,9
8,New Caledonia,-23.91666603088379,159.5,1852,1879,1869,1998-01-27,1998-02-23,1998-02-13,28,1.7687727405178855,1.3668066697186583,38.27058675212243,Strong,0.046420286328011935,0.06324161289291161,17,10
9,New Caledonia,-23.91666603088379,159.5,1898,1902,1899,1998-03-14,1998-03-18,1998-03-15,5,0.857180072415261,0.7855007909959341,3.92750395497967,Moderate,0.15856064006846773,0.027378961237895943,1,3
10,New Caledonia,-23.91666603088379,159.5,1911,1917,1912,1998-03-27,1998-04-02,1998-03-28,7,1.0328993028210043,0.8748970734908293,6.1242795144358055,Moderate,0.22468113642866783,0.049703844131961716,1,5
11,New Caledonia,-23.91666603088379,159.5,1929,1962,1946,1998-04-14,1998-05-17,1998-05-01,34,1.280945562547256,1.0529896611280645,35.80164847835419,Moderate,0.026575670374154165,0.03233773128028487,17,16
12,New Caledonia,-23.91666603088379,159.5,1987,1994,1993,1998-06-11,1998-06-18,1998-06-17,8,0.9937292529690644,0.915214692392659,7.321717539141272,Moderate,0.03708366602289404,0.06981281567645088,6,1
13,New Caledonia,-23.91666603088379,159.5,2045,2058,2054,1998-08-08,1998-08-21,1998-08-17,14,1.5832435238745965,1.1789257603306953,16.504960644629733,Strong,0.09072299886033208,0.19979549394286364,9,4
14,New Caledonia,-23.91666603088379,159.5,2077,2086,2082,1998-09-09,1998-09-18,1998-09-14,10,1.3947266609438032,0.9407582436838485,9.407582436838485,Strong,0.13758116243871432,0.1506710189217731,5,4
15,New Caledonia,-23.91666603088379,159.5,2102,2108,2106,1998-10-04,1998-10-10,1998-10-08,7,1.3598217502717063,1.1606176349973931,8.124323444981751,Moderate,0.10217953070090226,0.2356056336433646,4,2
16,New Caledonia,-23.91666603088379,159.5,2252,2259,2254,1999-03-03,1999-03-10,1999-03-05,8,1.3994580545733086,1.0201064309766243,8.160851447812995,Moderate,0.2781693858485056,0.12995043108540277,2,5
17,New Caledonia,-23.91666603088379,159.5,2488,2494,2489,1999-10-25,1999-10-31,1999-10-26,7,1.5240808917630098,1.3357541747906245,9.350279223534372,Moderate,0.24577663790795157,0.0719854237397044,1,5
18,New Caledonia,-23.91666603088379,159.5,3293,3300,3295,2002-01-07,2002-01-14,2002-01-09,8,2.0356366557459573,1.3857496169305556,11.085996935444445,Strong,0.4284969698998218,0.18228474390471627,2,5
19,New Caledonia,-23.91666603088379,159.5,3317,3330,3325,2002-01-31,2002-02-13,2002-02-08,14,2.4130872911022543,1.6922154053015632,23.691015674221884,Strong,0.17370363340432018,0.280096669350902,8,5
20,New Caledonia,-23.91666603088379,159.5,4067,4078,4073,2004-02-20,2004-03-02,2004-02-26,12,2.0291354886947204,1.228481743925365,14.74178092710438,Strong,0.19436895876901134,0.2429821707985618,6,5
21,New Caledonia,-23.91666603088379,159.5,4314,4318,4315,2004-10-24,2004-10-28,2004-10-25,5,1.8644732813681344,1.6125414940618696,8.062707470309348,Moderate,0.47882155961888156,0.19707962774461357,1,3
22,New Caledonia,-23.91666603088379,159.5,4331,4335,4333,2004-11-10,2004-11-14,2004-11-12,5,1.4270379466395227,1.2913120515884884,6.456560257942442,Moderate,0.16506355039534953,0.21472364856350906,2,2
23,New Caledonia,-23.91666603088379,159.5,4712,4745,4732,2005-11-26,2005-12-29,2005-12-16,34,2.7802809438397844,1.5770328510870781,53.61911693696066,Strong,0.08400868581656314,0.1281870360015543,20,13
24,New Caledonia,-23.91666603088379,159.5,4751,4756,4752,2006-01-04,2006-01-09,2006-01-05,6,1.6422226813531644,1.3542930233863029,8.125758140317817,Moderate,0.2718634041406756,0.15843590356970416,1,4
25,New Caledonia,-23.91666603088379,159.5,4767,4781,4778,2006-01-20,2006-02-03,2006-01-31,15,1.3326070847049891,1.1211811557892857,16.817717336839284,Moderate,0.03051171697373171,0.13137115970734772,11,3
26,New Caledonia,-23.91666603088379,159.5,6075,6088,6086,2009-08-20,2009-09-02,2009-08-31,14,1.1743461239722492,0.846487212290963,11.850820972073482,Moderate,0.04606299380266313,0.2172723216395241,11,2
27,New Caledonia,-23.91666603088379,159.5,6254,6265,6262,2010-02-15,2010-02-26,2010-02-23,12,1.0235122557609344,0.8885799428468116,10.66295931416174,Moderate,0.018887586792688014,0.08078847612653409,8,3
28,New Caledonia,-23.91666603088379,159.5,6363,6415,6382,2010-06-04,2010-07-26,2010-06-23,53,1.4742244597404195,1.1388683702186801,60.360023621590045,Moderate,0.034251720280169595,0.021027361594775106,19,33
29,New Caledonia,-23.91666603088379,159.5,6465,6480,6469,2010-09-14,2010-09-29,2010-09-18,16,1.8223676989155493,1.4494098847912233,23.190558156659574,Strong,0.2517395839896264,0.07803144361327495,4,11
30,New Caledonia,-23.91666603088379,159.5,6486,6517,6507,2010-10-05,2010-11-05,2010-10-26,32,2.2225386096585176,1.6424552279133957,52.55856729322866,Strong,0.06228253506934455,0.11429418982814862,21,10
31,New Caledonia,-23.91666603088379,159.5,6633,6638,6636,2011-03-01,2011-03-06,2011-03-04,6,1.180151600991529,0.97206544363371,5.83239266180226,Moderate,0.1442954683084088,0.22440415659258478,3,2
32,New Caledonia,-23.91666603088379,159.5,6730,6735,6733,2011-06-06,2011-06-11,2011-06-09,6,0.8565374189807571,0.8080780583043298,4.848468349825978,Moderate,0.03852600765667751,0.034396879134639846,3,2
33,New Caledonia,-23.91666603088379,159.5,6988,6995,6991,2012-02-19,2012-02-26,2012-02-22,8,1.4550338868171977,1.0789932973923246,8.631946379138597,Moderate,0.18968210352181508,0.1679565060523246,3,4
34,New Caledonia,-23.91666603088379,159.5,7006,7010,7007,2012-03-08,2012-03-12,2012-03-09,5,1.1630281017672672,0.883570468041205,4.417852340206025,Moderate,0.294822262179468,0.13808155499295946,1,3
35,New Caledonia,-23.91666603088379,159.5,7016,7030,7022,2012-03-18,2012-04-01,2012-03-24,15,1.3776882540795157,1.053870490289504,15.808057354342559,Moderate,0.09711061103764115,0.06831020376940199,6,8
36,New Caledonia,-23.91666603088379,159.5,7577,7581,7579,2013-09-30,2013-10-04,2013-10-02,5,1.3845297290432832,1.116013422319967,5.580067111599835,Moderate,0.28647859634891615,0.2624127910983162,2,2
37,New Caledonia,-23.91666603088379,159.5,7784,7788,7786,2014-04-25,2014-04-29,2014-04-27,5,1.1161723598357156,0.9879140546244954,4.939570273122477,Moderate,0.15909226940524235,0.11713154700494428,2,2
38,New Caledonia,-23.91666603088379,159.5,7872,7883,7877,2014-07-22,2014-08-02,2014-07-27,12,1.0343055725097727,0.9429820378621491,11.315784454345788,Moderate,0.03927718019904993,0.04629460280349808,5,6
39,New Caledonia,-23.91666603088379,159.5,7971,7976,7972,2014-10-29,2014-11-03,2014-10-30,6,1.3913519459386023,1.2458441334386041,7.475064800631625,Moderate,0.18783614456012643,0.07357012841009257,1,4
40,New Caledonia,-23.91666603088379,159.5,8049,8066,8062,2015-01-15,2015-02-01,2015-01-28,18,1.6600284576416051,1.357965595833292,24.443380724999255,Moderate,0.05319828457302557,0.1245314211828309,13,4
41,New Caledonia,-23.91666603088379,159.5,8098,8105,8102,2015-03-05,2015-03-12,2015-03-09,8,1.4109071300875797,1.1466113675025214,9.17289094002017,Strong,0.13719049405880746,0.18048028023012463,4,3
42,New Caledonia,-23.91666603088379,159.5,8185,8206,8190,2015-05-31,2015-06-21,2015-06-05,22,1.2268054716048766,1.0020757686357735,22.04566690998702,Moderate,0.09110107310006978,0.028473191247308276,5,16
43,New Caledonia,-23.91666603088379,159.5,8275,8300,8286,2015-08-29,2015-09-23,2015-09-09,26,1.611639638100904,1.027191737153692,26.706985165995995,Strong,0.08683979895807085,0.05732771605087474,11,14
44,New Caledonia,-23.91666603088379,159.5,8364,8371,8365,2015-11-26,2015-12-03,2015-11-27,8,1.9099250916511785,1.583625078201297,12.669000625610376,Moderate,0.41856913412770896,0.1096885151070335,1,6
45,New Caledonia,-23.91666603088379,159.5,8521,8553,8530,2016-05-01,2016-06-02,2016-05-10,33,1.3538319987635496,1.1056343332180687,36.48593299619627,Moderate,0.05992904624226556,0.02627754996881627,9,23
46,New Caledonia,-23.91666603088379,159.5,8573,8618,8603,2016-06-22,2016-08-06,2016-07-22,46,1.5400840390113153,1.257193493140867,57.83090068447988,Moderate,0.023297932714082155,0.05363310537030643,30,15
47,New Caledonia,-23.91666603088379,159.5,8848,8853,8852,2017-03-24,2017-03-29,2017-03-28,6,0.8459772294567465,0.8172794670187038,4.903676802112223,Moderate,0.03735369337074977,0.03757804952641782,4,1
48,New Caledonia,-23.91666603088379,159.5,9011,9017,9015,2017-09-03,2017-09-09,2017-09-07,7,0.8684577941894531,0.7745392443397634,5.421774710378344,Moderate,0.06135139328604566,0.0944906419323324,4,2
49,New Caledonia,-23.91666603088379,159.5,9045,9051,9048,2017-10-07,2017-10-13,2017-10-10,7,1.2453807092482094,1.0285687336723954,7.199981135706768,Moderate,0.13315376598164871,0.09897510686777775,3,3
50,New Caledonia,-23.91666603088379,159.5,9067,9078,9076,2017-10-29,2017-11-09,2017-11-07,12,1.7041693656675285,1.3770943354534868,16.52513202544184,Moderate,0.08384258354459032,0.2638540452526456,9,2
51,New Caledonia,-23.91666603088379,159.5,9260,9274,9268,2018-05-10,2018-05-24,2018-05-18,15,1.0882231189358649,0.9404659230222017,14.106988845333024,Moderate,0.02590365111262367,0.059621484344708944,8,6
52,New Caledonia,-23.91666603088379,159.5,9340,9346,9342,2018-07-29,2018-08-04,2018-07-31,7,0.9422176730248317,0.8483411991101869,5.938388393771309,Moderate,0.06791966346002383,0.04399536843795618,2,4
53,New Caledonia,-23.91666603088379,159.5,9352,9364,9360,2018-08-10,2018-08-22,2018-08-18,13,1.229837540657293,0.9211361366821015,11.97476977686732,Moderate,0.06109629998397114,0.12649415812612042,8,4
54,New Caledonia,-23.91666603088379,159.5,9435,9448,9438,2018-11-01,2018-11-14,2018-11-04,14,1.5889184398035887,1.443914769431964,20.214806772047496,Moderate,0.16362221010269756,0.04945166100005458,3,10
55,New Caledonia,-23.91666603088379,159.5,9889,9895,9889,2020-01-29,2020-02-04,2020-01-29,7,1.2301276422316043,1.0666108109434655,7.466275676604258,Moderate,0.25976211793960857,0.04711919741950018,0,6
56,New Caledonia,-23.91666603088379,159.5,9905,9937,9931,2020-02-14,2020-03-17,2020-03-11,33,2.4486016919535984,1.5545144197644851,51.29897585222801,Severe,0.06404805081832461,0.2587909982458835,26,6
57,New Caledonia,-23.91666603088379,159.5,10078,10083,10081,2020-08-05,2020-08-10,2020-08-08,6,1.0413741450155953,0.9073030410274404,5.443818246164643,Moderate,0.0993789374004308,0.12984930469143735,3,2
58,New Caledonia,-23.91666603088379,159.5,10155,10168,10166,2020-10-21,2020-11-03,2020-11-01,14,2.366430590229651,1.5959629463160636,22.34348124842489,Strong,0.12329735294465147,0.49874057154501583,11,2
59,New Caledonia,-23.91666603088379,159.5,10354,10367,10359,2021-05-08,2021-05-21,2021-05-13,14,1.1232161983366993,1.0135195288240655,14.189273403536916,Moderate,0.06777229756553961,0.047076668639789224,5,8
60,New Caledonia,-23.91666603088379,159.5,10466,10483,10481,2021-08-28,2021-09-14,2021-09-12,18,1.3708267827187797,1.059889161031307,19.078004898563528,Strong,0.05105526712756969,0.28862704615438944,15,2
61,New Caledonia,-23.91666603088379,159.5,10655,10707,10660,2022-03-05,2022-04-26,2022-03-10,53,1.8681253002535883,1.1243843396698199,59.59237000250046,Strong,0.20342340776997114,0.022357675782286215,5,47
62,New Caledonia,-23.91666603088379,159.5,10716,10722,10719,2022-05-05,2022-05-11,2022-05-08,7,1.1428022692280422,1.0091371668099274,7.063960167669492,Moderate,0.10202988831128781,0.09775921166767125,3,3
63,New Caledonia,-23.91666603088379,159.5,10877,10903,10897,2022-10-13,2022-11-08,2022-11-02,27,2.4919352992888477,1.7575729967160603,47.45447091133363,Strong,0.07504900940565705,0.21125770739231206,20,6
64,New Caledonia,-23.91666603088379,159.5,10910,10949,10934,2022-11-15,2022-12-24,2022-12-09,40,3.257191196564712,2.1404838885030473,85.61935554012189,Strong,0.08559004863364864,0.13512962095199138,24,15
65,New Caledonia,-23.91666603088379,159.5,11183,11188,11184,2023-08-15,2023-08-20,2023-08-16,6,0.8972851537889106,0.769862369824485,4.61917421894691,Moderate,0.18460751605290446,0.06197979971499537,1,4
