,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-23.0,166.8333282470703,1082,1088,1083,1995-12-19,1995-12-25,1995-12-20,7,1.5527976866691375,1.386940881403909,9.708586169827363,Moderate,0.14578236815750026,0.05233496724685435,1,5
1,New Caledonia,-23.0,166.8333282470703,1104,1110,1107,1996-01-10,1996-01-16,1996-01-13,7,2.1267124914353843,1.5552322370116047,10.886625659081233,Moderate,0.26491932495398374,0.29698679524083105,3,3
2,New Caledonia,-23.0,166.8333282470703,1132,1138,1133,1996-02-07,1996-02-13,1996-02-08,7,1.5981703727476066,1.4958735874720992,10.471115112304695,Moderate,0.20581427953576417,0.02715050090442972,1,5
3,New Caledonia,-23.0,166.8333282470703,1148,1157,1148,1996-02-23,1996-03-03,1996-02-23,10,1.8470657410160243,1.5563055776780668,15.563055776780669,Moderate,0.5105640042212727,0.05659661673528068,0,9
4,New Caledonia,-23.0,166.8333282470703,1288,1295,1292,1996-07-12,1996-07-19,1996-07-16,8,0.9524304789881555,0.8443874928259092,6.7550999426072735,Moderate,0.07282452600403862,0.08137877855432711,4,3
5,New Caledonia,-23.0,166.8333282470703,1809,1823,1822,1997-12-15,1997-12-29,1997-12-28,15,1.7846236075124402,1.5329508832705903,22.994263249058854,Moderate,0.033706963560771845,0.35311206694572306,13,1
6,New Caledonia,-23.0,166.8333282470703,1933,1959,1943,1998-04-18,1998-05-14,1998-04-28,27,1.579680350519002,1.3086644791360451,35.333940936673216,Moderate,0.059787805911766224,0.037806426092094024,10,16
7,New Caledonia,-23.0,166.8333282470703,1967,1974,1971,1998-05-22,1998-05-29,1998-05-26,8,1.1476539488761617,1.0287649477681797,8.230119582145438,Moderate,0.07701676891695976,0.0736507029027972,4,3
8,New Caledonia,-23.0,166.8333282470703,1982,2088,2036,1998-06-06,1998-09-20,1998-07-30,107,1.704061446651334,1.2083150445606325,129.2897097679877,Strong,0.015415232292326567,0.019202976256105418,54,52
9,New Caledonia,-23.0,166.8333282470703,2094,2132,2113,1998-09-26,1998-11-03,1998-10-15,39,1.9917337971348914,1.3641244653239517,53.20085414763412,Strong,0.060103822681310266,0.05335953099556088,19,19
10,New Caledonia,-23.0,166.8333282470703,2199,2207,2204,1999-01-09,1999-01-17,1999-01-14,9,2.036768697923229,1.6160978023296602,14.544880220966942,Moderate,0.15838183965151648,0.2686586423953002,5,3
11,New Caledonia,-23.0,166.8333282470703,2276,2297,2288,1999-03-27,1999-04-17,1999-04-08,22,1.8508586268271188,1.4291220298610485,31.440684656943066,Moderate,0.0646204573108308,0.08783848864518112,12,9
12,New Caledonia,-23.0,166.8333282470703,2308,2313,2310,1999-04-28,1999-05-03,1999-04-30,6,1.3683148045693727,1.1404283482541373,6.842570089524823,Moderate,0.15774532441169953,0.12083116874167489,2,3
13,New Caledonia,-23.0,166.8333282470703,2988,2997,2993,2001-03-08,2001-03-17,2001-03-13,10,1.8487007694859798,1.5671465904482038,15.671465904482037,Moderate,0.13025087485215667,0.19598052322223858,5,4
14,New Caledonia,-23.0,166.8333282470703,3009,3013,3012,2001-03-29,2001-04-02,2001-04-01,5,1.4361694089827992,1.1989198992329257,5.9945994961646285,Moderate,0.14869304955829626,0.23244502980222018,3,1
