,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-20.66666603088379,166.3333282470703,1031,1042,1033,1995-10-29,1995-11-09,1995-10-31,12,1.6977390781525656,1.2728561432130883,15.274273718557058,Moderate,0.2314342375724557,0.07148462888137998,2,9
1,New Caledonia,-20.66666603088379,166.3333282470703,1055,1059,1058,1995-11-22,1995-11-26,1995-11-25,5,1.701056142007154,1.3132363104051188,6.5661815520255935,Moderate,0.17858817280712205,0.4662274801602931,3,1
2,New Caledonia,-20.66666603088379,166.3333282470703,1081,1088,1086,1995-12-18,1995-12-25,1995-12-23,8,1.4670880225396985,1.2973518679218956,10.378814943375165,Moderate,0.05907356284580636,0.1329827093308978,5,2
3,New Caledonia,-20.66666603088379,166.3333282470703,1106,1112,1107,1996-01-12,1996-01-18,1996-01-13,7,1.8474586855980668,1.4727810978340077,10.309467684838054,Moderate,0.35600844762658684,0.1398638168737695,1,5
4,New Caledonia,-20.66666603088379,166.3333282470703,1132,1137,1133,1996-02-07,1996-02-12,1996-02-08,6,1.2496868871873446,1.119603167298023,6.717619003788137,Moderate,0.23033004678705638,0.05935361308436211,1,4
5,New Caledonia,-20.66666603088379,166.3333282470703,1147,1168,1156,1996-02-22,1996-03-14,1996-03-02,22,1.5232038190287938,1.1741983687772786,25.83236411310013,Moderate,0.07351848427427642,0.04886129563854581,9,12
6,New Caledonia,-20.66666603088379,166.3333282470703,1240,1246,1244,1996-05-25,1996-05-31,1996-05-29,7,1.0727353249826734,0.875270544658609,6.126893812610263,Moderate,0.07755535221441671,0.17222408171622944,4,2
7,New Caledonia,-20.66666603088379,166.3333282470703,1290,1298,1298,1996-07-14,1996-07-22,1996-07-22,9,0.8734158546693891,0.8313281219919983,7.481953097927985,Moderate,0.019737406518925252,0.1508386058192137,8,0
8,New Caledonia,-20.66666603088379,166.3333282470703,1950,1975,1955,1998-05-05,1998-05-30,1998-05-10,26,1.4544653738698656,1.1060246025066498,28.756639665172894,Moderate,0.12400527573750576,0.034532044273394465,5,20
9,New Caledonia,-20.66666603088379,166.3333282470703,1979,2025,1986,1998-06-03,1998-07-19,1998-06-10,47,1.7537188376149864,1.054707468906005,49.57125103858223,Strong,0.13718672311434213,0.024703736497996634,7,39
10,New Caledonia,-20.66666603088379,166.3333282470703,2037,2058,2045,1998-07-31,1998-08-21,1998-08-08,22,1.7475990172355402,1.2523659149572675,27.552050129059882,Strong,0.11866026630437766,0.06507865787264533,8,13
11,New Caledonia,-20.66666603088379,166.3333282470703,2062,2075,2070,1998-08-25,1998-09-07,1998-09-02,14,1.3925166591521254,1.1469411806027485,16.05717652843848,Moderate,0.05552684921467316,0.08946891404317046,8,5
12,New Caledonia,-20.66666603088379,166.3333282470703,2102,2121,2113,1998-10-04,1998-10-23,1998-10-15,20,2.2339480615431313,1.54395379712505,30.879075942501004,Strong,0.11878259720340854,0.13170183315675263,11,8
