,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-18.08333396911621,162.75,1078,1083,1082,1995-12-15,1995-12-20,1995-12-19,6,1.6565039234776648,1.2816955402333232,7.69017324139994,Moderate,0.11700842799251593,0.3562518089048344,4,1
1,New Caledonia,-18.08333396911621,162.75,1105,1109,1107,1996-01-11,1996-01-15,1996-01-13,5,1.4283910566760731,1.2575219185121669,6.287609592560834,Moderate,0.16668096973050125,0.16801845181372954,2,2
2,New Caledonia,-18.08333396911621,162.75,1133,1141,1138,1996-02-08,1996-02-16,1996-02-13,9,1.0793376430388477,1.0046905462887183,9.042214916598464,Moderate,0.035280708693339206,0.0731721517677134,5,3
3,New Caledonia,-18.08333396911621,162.75,1147,1165,1152,1996-02-22,1996-03-11,1996-02-27,19,1.6432529572517645,1.1358370529977873,21.580904006957958,Strong,0.15187542599317247,0.06569578200400693,5,13
4,New Caledonia,-18.08333396911621,162.75,1966,1971,1971,1998-05-21,1998-05-26,1998-05-26,6,0.958005043768118,0.8601600482899675,5.160960289739805,Moderate,0.036683801332178495,0.2136443353468387,5,0
5,New Caledonia,-18.08333396911621,162.75,2002,2008,2003,1998-06-26,1998-07-02,1998-06-27,7,1.0714853348270523,0.9804558819889451,6.8631911739226155,Moderate,0.17279979746828764,0.04350481005358214,1,5
6,New Caledonia,-18.08333396911621,162.75,2053,2070,2063,1998-08-16,1998-09-02,1998-08-26,18,1.6453370125063067,1.2769719537441022,22.98549516739384,Moderate,0.067194324850854,0.08390966025731927,10,7
7,New Caledonia,-18.08333396911621,162.75,2103,2114,2110,1998-10-05,1998-10-16,1998-10-12,12,1.9329425442603316,1.6497425212655026,19.79691025518603,Moderate,0.11217004099199883,0.19733987486917806,7,4
8,New Caledonia,-18.08333396911621,162.75,2125,2132,2129,1998-10-27,1998-11-03,1998-10-31,8,1.3978456681774531,1.2556512894169,10.0452103153352,Moderate,0.06676762762035517,0.14508966366816164,4,3
9,New Caledonia,-18.08333396911621,162.75,2265,2273,2266,1999-03-16,1999-03-24,1999-03-17,9,0.9293715569280785,0.8188332793533171,7.369499514179854,Moderate,0.12395432174846614,0.028549702962239583,1,7
10,New Caledonia,-18.08333396911621,162.75,2284,2298,2287,1999-04-04,1999-04-18,1999-04-07,15,1.1078925594206837,0.9400563475906246,14.100845213859369,Moderate,0.10896976312734045,0.038255539047434194,3,11
11,New Caledonia,-18.08333396911621,162.75,2325,2329,2328,1999-05-15,1999-05-19,1999-05-18,5,0.8345079114360203,0.8029097034085183,4.014548517042591,Moderate,0.03489198992329179,0.07862236679241381,3,1
12,New Caledonia,-18.08333396911621,162.75,2991,3006,2997,2001-03-11,2001-03-26,2001-03-17,16,1.4033991905950707,1.1906060095756275,19.04969615321004,Moderate,0.07945208868968615,0.069890814038003,6,9
13,New Caledonia,-18.08333396911621,162.75,3263,3268,3266,2001-12-08,2001-12-13,2001-12-11,6,1.5582199711953422,1.314417767268355,7.88650660361013,Moderate,0.12803641991681097,0.21805023685578248,3,2
14,New Caledonia,-18.08333396911621,162.75,3316,3324,3318,2002-01-30,2002-02-07,2002-02-01,9,1.2313423156738317,1.068719535745603,9.618475821710426,Moderate,0.15316640792354547,0.05390596034804837,2,6
