,country,latitude,longitude,time,spatial_extent
0,New Caledonia,-20.83333396911621,167.3333282470703,727564,0.0
1,New Caledonia,-20.83333396911621,167.3333282470703,727565,0.0
2,New Caledonia,-20.83333396911621,167.3333282470703,727566,0.0
3,New Caledonia,-20.83333396911621,167.3333282470703,727567,0.0
4,New Caledonia,-20.83333396911621,167.3333282470703,727568,0.0
5,New Caledonia,-20.83333396911621,167.3333282470703,727569,0.0
6,New Caledonia,-20.83333396911621,167.3333282470703,727570,0.0
7,New Caledonia,-20.83333396911621,167.3333282470703,727571,0.0
8,New Caledonia,-20.83333396911621,167.3333282470703,727572,0.0
9,New Caledonia,-20.83333396911621,167.3333282470703,727573,0.0
10,New Caledonia,-20.83333396911621,167.3333282470703,727574,0.0
11,New Caledonia,-20.83333396911621,167.3333282470703,727575,0.0
12,New Caledonia,-20.83333396911621,167.3333282470703,727576,0.0
13,New Caledonia,-20.83333396911621,167.3333282470703,727577,0.0
14,New Caledonia,-20.83333396911621,167.3333282470703,727578,0.0
15,New Caledonia,-20.83333396911621,167.3333282470703,727579,0.0
16,New Caledonia,-20.83333396911621,167.3333282470703,727580,0.0
17,New Caledonia,-20.83333396911621,167.3333282470703,727581,0.0
18,New Caledonia,-20.83333396911621,167.3333282470703,727582,0.0
19,New Caledonia,-20.83333396911621,167.3333282470703,727583,0.0
20,New Caledonia,-20.83333396911621,167.3333282470703,727584,0.0
21,New Caledonia,-20.83333396911621,167.3333282470703,727585,0.0
22,New Caledonia,-20.83333396911621,167.3333282470703,727586,0.0
23,New Caledonia,-20.83333396911621,167.3333282470703,727587,0.0
24,New Caledonia,-20.83333396911621,167.3333282470703,727588,0.0
25,New Caledonia,-20.83333396911621,167.3333282470703,727589,0.0
26,New Caledonia,-20.83333396911621,167.3333282470703,727590,0.0
27,New Caledonia,-20.83333396911621,167.3333282470703,727591,0.0
28,New Caledonia,-20.83333396911621,167.3333282470703,727592,0.0
