,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-22.41666603088379,167.5833282470703,1132,1136,1133,1996-02-07,1996-02-11,1996-02-08,5,1.1509869483209378,1.0227002051568796,5.113501025784398,Moderate,0.16355840621455778,0.08057309515465048,1,3
1,New Caledonia,-22.41666603088379,167.5833282470703,1369,1373,1370,1996-10-01,1996-10-05,1996-10-02,5,1.1723582360052305,1.067770939488566,5.33885469744283,Moderate,0.21386376247610883,0.08013869430612276,1,3
2,New Caledonia,-22.41666603088379,167.5833282470703,1429,1436,1434,1996-11-30,1996-12-07,1996-12-05,8,1.733238773961233,1.4386486161139769,11.509188928911815,Moderate,0.15672750836593544,0.2299567437941043,5,2
3,New Caledonia,-22.41666603088379,167.5833282470703,1550,1559,1558,1997-03-31,1997-04-09,1997-04-08,10,1.1449668022894102,0.9728438654253558,9.728438654253559,Moderate,0.03402548180133134,0.19256700495238022,8,1
4,New Caledonia,-22.41666603088379,167.5833282470703,1693,1698,1697,1997-08-21,1997-08-26,1997-08-25,6,0.9397991549584184,0.8539680460447912,5.123808276268747,Moderate,0.03513368996240729,0.08669672730148648,4,1
5,New Caledonia,-22.41666603088379,167.5833282470703,1808,1815,1810,1997-12-14,1997-12-21,1997-12-16,8,1.6962679586102887,1.4847401034447456,11.877920827557965,Moderate,0.18473548889159871,0.06274408469102255,2,5
6,New Caledonia,-22.41666603088379,167.5833282470703,1934,2098,1986,1998-04-19,1998-09-30,1998-06-10,165,1.8129308762088954,1.3140801482885818,216.823224467616,Strong,0.017154010942637805,0.007874388882763508,52,112
7,New Caledonia,-22.41666603088379,167.5833282470703,2102,2132,2113,1998-10-04,1998-11-03,1998-10-15,31,2.0781072801159297,1.422754521920704,44.10539017954183,Strong,0.09791269877515388,0.06014317811472162,11,19
8,New Caledonia,-22.41666603088379,167.5833282470703,2184,2192,2185,1998-12-25,1999-01-02,1998-12-26,9,1.8325251917685286,1.5513178917669512,13.96186102590256,Moderate,0.33907110973071514,0.061005873321205446,1,7
9,New Caledonia,-22.41666603088379,167.5833282470703,2252,2258,2254,1999-03-03,1999-03-09,1999-03-05,7,1.001335328625096,0.9664091822189101,6.764864275532371,Moderate,0.04676565354870306,0.0275931614701478,2,4
10,New Caledonia,-22.41666603088379,167.5833282470703,2263,2298,2287,1999-03-14,1999-04-18,1999-04-07,36,1.9274459961921941,1.4345176228485694,51.6426344225485,Strong,0.039170381346370325,0.09254034505151208,24,11
11,New Caledonia,-22.41666603088379,167.5833282470703,2307,2312,2310,1999-04-27,1999-05-02,1999-04-30,6,1.359610034573457,1.141019021311111,6.846114127866667,Moderate,0.13558235695834395,0.14824195369597176,3,2
12,New Caledonia,-22.41666603088379,167.5833282470703,2501,2505,2504,1999-11-07,1999-11-11,1999-11-10,5,1.5886467964418465,1.3280517701179746,6.640258850589873,Moderate,0.1593010810113731,0.35040560076313554,3,1
13,New Caledonia,-22.41666603088379,167.5833282470703,2989,2998,2993,2001-03-09,2001-03-18,2001-03-13,10,1.3982791900634801,1.2246889975763153,12.246889975763153,Moderate,0.10039933864361217,0.09088013388893788,4,5
14,New Caledonia,-22.41666603088379,167.5833282470703,3008,3014,3012,2001-03-28,2001-04-03,2001-04-01,7,1.2814959249188789,1.042349433019964,7.296446031139748,Moderate,0.07562304397637555,0.2027213681128707,4,2
15,New Caledonia,-22.41666603088379,167.5833282470703,3236,3240,3239,2001-11-11,2001-11-15,2001-11-14,5,1.7519499871038668,1.533071038030812,7.6653551901540595,Moderate,0.14627664100190074,0.4180060150802755,3,1
16,New Caledonia,-22.41666603088379,167.5833282470703,3256,3267,3263,2001-12-01,2001-12-12,2001-12-08,12,2.3185568163471935,1.6043086513396316,19.25170381607558,Moderate,0.15325417467343005,0.2578806791681545,7,4
17,New Caledonia,-22.41666603088379,167.5833282470703,3279,3306,3295,2001-12-24,2002-01-20,2002-01-09,28,2.3780676318753144,1.7364512324882568,48.62063450967119,Moderate,0.0652533108887435,0.1119621218003192,16,11
18,New Caledonia,-22.41666603088379,167.5833282470703,3315,3334,3323,2002-01-29,2002-02-17,2002-02-06,20,1.8226257447273468,1.5000784012579147,30.001568025158292,Strong,0.10587182307379032,0.08174126613023038,8,11
19,New Caledonia,-22.41666603088379,167.5833282470703,3760,3764,3761,2003-04-19,2003-04-23,2003-04-20,5,1.0054398198281582,0.9494559626425477,4.747279813212739,Moderate,0.06712130064605049,0.030849210677609103,1,3
