latitude,longitude,coastal_200m_more_depth,geometry,Country
-12.5,160.4166717529297,1,POINT (160.4166717529297 -12.5),Solomon Islands
-12.5,160.5,1,POINT (160.5 -12.5),Solomon Islands
-12.416666984558105,160.4166717529297,1,POINT (160.4166717529297 -12.416666984558105),Solomon Islands
-11.916666984558105,160.5833282470703,1,POINT (160.5833282470703 -11.916666984558105),Solomon Islands
-11.916666984558105,160.4166717529297,1,POINT (160.4166717529297 -11.916666984558105),Solomon Islands
-12.416666984558105,160.0,1,POINT (160 -12.416666984558105),Solomon Islands
-12.333333015441895,160.0,1,POINT (160 -12.333333015441895),Solomon Islands
-12.416666984558105,160.3333282470703,1,POINT (160.3333282470703 -12.416666984558105),Solomon Islands
-12.416666984558105,160.0833282470703,1,POINT (160.0833282470703 -12.416666984558105),Solomon Islands
-12.333333015441895,160.3333282470703,1,POINT (160.3333282470703 -12.333333015441895),Solomon Islands
-12.333333015441895,160.25,1,POINT (160.25 -12.333333015441895),Solomon Islands
-12.25,160.0,1,POINT (160 -12.25),Solomon Islands
-12.25,160.25,1,POINT (160.25 -12.25),Solomon Islands
-12.25,160.0833282470703,1,POINT (160.0833282470703 -12.25),Solomon Islands
-12.25,160.1666717529297,1,POINT (160.1666717529297 -12.25),Solomon Islands
-11.916666984558105,160.25,1,POINT (160.25 -11.916666984558105),Solomon Islands
-11.916666984558105,160.3333282470703,1,POINT (160.3333282470703 -11.916666984558105),Solomon Islands
-11.916666984558105,160.6666717529297,1,POINT (160.6666717529297 -11.916666984558105),Solomon Islands
-11.916666984558105,160.5,1,POINT (160.5 -11.916666984558105),Solomon Islands
-11.833333015441895,160.6666717529297,1,POINT (160.6666717529297 -11.833333015441895),Solomon Islands
-11.75,160.6666717529297,1,POINT (160.6666717529297 -11.75),Solomon Islands
-11.666666984558105,160.5,1,POINT (160.5 -11.666666984558105),Solomon Islands
-11.666666984558105,160.5833282470703,1,POINT (160.5833282470703 -11.666666984558105),Solomon Islands
-11.666666984558105,160.6666717529297,1,POINT (160.6666717529297 -11.666666984558105),Solomon Islands
-11.583333015441895,160.5,1,POINT (160.5 -11.583333015441895),Solomon Islands
-11.833333015441895,160.1666717529297,1,POINT (160.1666717529297 -11.833333015441895),Solomon Islands
-11.833333015441895,160.0833282470703,1,POINT (160.0833282470703 -11.833333015441895),Solomon Islands
-11.833333015441895,160.25,1,POINT (160.25 -11.833333015441895),Solomon Islands
-11.75,160.25,1,POINT (160.25 -11.75),Solomon Islands
-11.75,160.3333282470703,1,POINT (160.3333282470703 -11.75),Solomon Islands
-11.75,160.0833282470703,1,POINT (160.0833282470703 -11.75),Solomon Islands
-11.666666984558105,159.9166717529297,1,POINT (159.9166717529297 -11.666666984558105),Solomon Islands
-11.666666984558105,160.0,1,POINT (160 -11.666666984558105),Solomon Islands
-11.666666984558105,160.0833282470703,1,POINT (160.0833282470703 -11.666666984558105),Solomon Islands
