latitude,longitude,coastal_200m_more_depth,geometry,Country
-20.41666603088379,169.75,1,POINT (169.75 -20.41666603088379),Vanuatu
-20.41666603088379,169.9166717529297,1,POINT (169.9166717529297 -20.41666603088379),Vanuatu
-20.41666603088379,169.8333282470703,1,POINT (169.8333282470703 -20.41666603088379),Vanuatu
-20.33333396911621,169.9166717529297,1,POINT (169.9166717529297 -20.33333396911621),Vanuatu
-20.33333396911621,169.6666717529297,1,POINT (169.6666717529297 -20.33333396911621),Vanuatu
-20.33333396911621,169.75,1,POINT (169.75 -20.33333396911621),Vanuatu
-20.25,169.6666717529297,1,POINT (169.6666717529297 -20.25),Vanuatu
-20.33333396911621,170.0,1,POINT (170 -20.33333396911621),Vanuatu
-20.25,170.0,1,POINT (170 -20.25),Vanuatu
-20.16666603088379,170.0,1,POINT (170 -20.16666603088379),Vanuatu
-20.08333396911621,170.0,1,POINT (170 -20.08333396911621),Vanuatu
-20.16666603088379,169.6666717529297,1,POINT (169.6666717529297 -20.16666603088379),Vanuatu
-20.08333396911621,169.9166717529297,1,POINT (169.9166717529297 -20.08333396911621),Vanuatu
-20.08333396911621,169.6666717529297,1,POINT (169.6666717529297 -20.08333396911621),Vanuatu
-20.08333396911621,169.8333282470703,1,POINT (169.8333282470703 -20.08333396911621),Vanuatu
-20.08333396911621,169.75,1,POINT (169.75 -20.08333396911621),Vanuatu
-19.66666603088379,169.4166717529297,1,POINT (169.4166717529297 -19.66666603088379),Vanuatu
-19.58333396911621,169.1666717529297,1,POINT (169.1666717529297 -19.58333396911621),Vanuatu
-19.66666603088379,169.5833282470703,1,POINT (169.5833282470703 -19.66666603088379),Vanuatu
-19.66666603088379,169.5,1,POINT (169.5 -19.66666603088379),Vanuatu
-19.66666603088379,169.25,1,POINT (169.25 -19.66666603088379),Vanuatu
-19.66666603088379,169.3333282470703,1,POINT (169.3333282470703 -19.66666603088379),Vanuatu
-19.58333396911621,169.5833282470703,1,POINT (169.5833282470703 -19.58333396911621),Vanuatu
-19.58333396911621,169.25,1,POINT (169.25 -19.58333396911621),Vanuatu
-19.5,169.5,1,POINT (169.5 -19.5),Vanuatu
-19.5,169.5833282470703,1,POINT (169.5833282470703 -19.5),Vanuatu
-19.41666603088379,169.5,1,POINT (169.5 -19.41666603088379),Vanuatu
-19.33333396911621,169.5833282470703,1,POINT (169.5833282470703 -19.33333396911621),Vanuatu
-19.33333396911621,169.5,1,POINT (169.5 -19.33333396911621),Vanuatu
-19.33333396911621,169.6666717529297,1,POINT (169.6666717529297 -19.33333396911621),Vanuatu
-19.25,169.6666717529297,1,POINT (169.6666717529297 -19.25),Vanuatu
-19.25,169.4166717529297,1,POINT (169.4166717529297 -19.25),Vanuatu
-19.25,169.25,1,POINT (169.25 -19.25),Vanuatu
-19.25,169.5,1,POINT (169.5 -19.25),Vanuatu
-19.25,169.3333282470703,1,POINT (169.3333282470703 -19.25),Vanuatu
-19.16666603088379,169.5,1,POINT (169.5 -19.16666603088379),Vanuatu
-19.16666603088379,169.6666717529297,1,POINT (169.6666717529297 -19.16666603088379),Vanuatu
-19.5,169.1666717529297,1,POINT (169.1666717529297 -19.5),Vanuatu
-19.41666603088379,169.1666717529297,1,POINT (169.1666717529297 -19.41666603088379),Vanuatu
-19.33333396911621,169.1666717529297,1,POINT (169.1666717529297 -19.33333396911621),Vanuatu
-19.25,169.1666717529297,1,POINT (169.1666717529297 -19.25),Vanuatu
-19.08333396911621,169.0833282470703,1,POINT (169.0833282470703 -19.08333396911621),Vanuatu
-19.08333396911621,169.1666717529297,1,POINT (169.1666717529297 -19.08333396911621),Vanuatu
-19.0,169.0833282470703,1,POINT (169.0833282470703 -19),Vanuatu
-19.16666603088379,169.5833282470703,1,POINT (169.5833282470703 -19.16666603088379),Vanuatu
-19.08333396911621,169.3333282470703,1,POINT (169.3333282470703 -19.08333396911621),Vanuatu
-19.08333396911621,169.4166717529297,1,POINT (169.4166717529297 -19.08333396911621),Vanuatu
-19.08333396911621,169.25,1,POINT (169.25 -19.08333396911621),Vanuatu
-19.0,169.4166717529297,1,POINT (169.4166717529297 -19),Vanuatu
-19.0,169.25,1,POINT (169.25 -19),Vanuatu
-18.91666603088379,169.4166717529297,1,POINT (169.4166717529297 -18.91666603088379),Vanuatu
-18.83333396911621,169.3333282470703,1,POINT (169.3333282470703 -18.83333396911621),Vanuatu
-18.83333396911621,169.4166717529297,1,POINT (169.4166717529297 -18.83333396911621),Vanuatu
-19.0,169.0,1,POINT (169 -19),Vanuatu
-18.91666603088379,168.9166717529297,1,POINT (168.9166717529297 -18.91666603088379),Vanuatu
-18.91666603088379,169.0,1,POINT (169 -18.91666603088379),Vanuatu
-18.83333396911621,168.9166717529297,1,POINT (168.9166717529297 -18.83333396911621),Vanuatu
-18.75,168.9166717529297,1,POINT (168.9166717529297 -18.75),Vanuatu
-18.66666603088379,168.9166717529297,1,POINT (168.9166717529297 -18.66666603088379),Vanuatu
-18.75,169.3333282470703,1,POINT (169.3333282470703 -18.75),Vanuatu
-18.66666603088379,169.3333282470703,1,POINT (169.3333282470703 -18.66666603088379),Vanuatu
-18.58333396911621,169.25,1,POINT (169.25 -18.58333396911621),Vanuatu
-18.58333396911621,169.3333282470703,1,POINT (169.3333282470703 -18.58333396911621),Vanuatu
-18.58333396911621,168.5,1,POINT (168.5 -18.58333396911621),Vanuatu
-18.58333396911621,168.4166717529297,1,POINT (168.4166717529297 -18.58333396911621),Vanuatu
-18.5,168.4166717529297,1,POINT (168.4166717529297 -18.5),Vanuatu
-18.58333396911621,168.9166717529297,1,POINT (168.9166717529297 -18.58333396911621),Vanuatu
-18.58333396911621,169.1666717529297,1,POINT (169.1666717529297 -18.58333396911621),Vanuatu
-18.58333396911621,169.0,1,POINT (169 -18.58333396911621),Vanuatu
-18.5,169.1666717529297,1,POINT (169.1666717529297 -18.5),Vanuatu
-18.5,169.0833282470703,1,POINT (169.0833282470703 -18.5),Vanuatu
-18.5,169.0,1,POINT (169 -18.5),Vanuatu
-18.58333396911621,168.5833282470703,1,POINT (168.5833282470703 -18.58333396911621),Vanuatu
-18.5,168.5833282470703,1,POINT (168.5833282470703 -18.5),Vanuatu
-18.41666603088379,168.5833282470703,1,POINT (168.5833282470703 -18.41666603088379),Vanuatu
-17.83333396911621,168.25,1,POINT (168.25 -17.83333396911621),Vanuatu
-17.83333396911621,168.4166717529297,1,POINT (168.4166717529297 -17.83333396911621),Vanuatu
-17.83333396911621,168.3333282470703,1,POINT (168.3333282470703 -17.83333396911621),Vanuatu
-17.75,168.25,1,POINT (168.25 -17.75),Vanuatu
-17.83333396911621,168.5833282470703,1,POINT (168.5833282470703 -17.83333396911621),Vanuatu
-17.83333396911621,168.5,1,POINT (168.5 -17.83333396911621),Vanuatu
-17.83333396911621,168.6666717529297,1,POINT (168.6666717529297 -17.83333396911621),Vanuatu
-17.75,168.6666717529297,1,POINT (168.6666717529297 -17.75),Vanuatu
-17.75,168.1666717529297,1,POINT (168.1666717529297 -17.75),Vanuatu
-17.66666603088379,168.1666717529297,1,POINT (168.1666717529297 -17.66666603088379),Vanuatu
-17.66666603088379,168.6666717529297,1,POINT (168.6666717529297 -17.66666603088379),Vanuatu
-17.58333396911621,168.5833282470703,1,POINT (168.5833282470703 -17.58333396911621),Vanuatu
-17.58333396911621,168.6666717529297,1,POINT (168.6666717529297 -17.58333396911621),Vanuatu
-17.5,168.5833282470703,1,POINT (168.5833282470703 -17.5),Vanuatu
-17.58333396911621,168.1666717529297,1,POINT (168.1666717529297 -17.58333396911621),Vanuatu
-17.5,168.25,1,POINT (168.25 -17.5),Vanuatu
-17.5,168.1666717529297,1,POINT (168.1666717529297 -17.5),Vanuatu
-17.41666603088379,168.4166717529297,1,POINT (168.4166717529297 -17.41666603088379),Vanuatu
-17.41666603088379,168.5,1,POINT (168.5 -17.41666603088379),Vanuatu
-17.41666603088379,168.5833282470703,1,POINT (168.5833282470703 -17.41666603088379),Vanuatu
-16.66666603088379,167.5,1,POINT (167.5 -16.66666603088379),Vanuatu
-16.66666603088379,167.5833282470703,1,POINT (167.5833282470703 -16.66666603088379),Vanuatu
-16.66666603088379,167.4166717529297,1,POINT (167.4166717529297 -16.66666603088379),Vanuatu
-16.58333396911621,167.3333282470703,1,POINT (167.3333282470703 -16.58333396911621),Vanuatu
-16.58333396911621,167.5833282470703,1,POINT (167.5833282470703 -16.58333396911621),Vanuatu
-16.58333396911621,167.4166717529297,1,POINT (167.4166717529297 -16.58333396911621),Vanuatu
-16.58333396911621,167.6666717529297,1,POINT (167.6666717529297 -16.58333396911621),Vanuatu
-16.66666603088379,167.75,1,POINT (167.75 -16.66666603088379),Vanuatu
-16.66666603088379,167.9166717529297,1,POINT (167.9166717529297 -16.66666603088379),Vanuatu
-16.58333396911621,167.9166717529297,1,POINT (167.9166717529297 -16.58333396911621),Vanuatu
-16.58333396911621,167.75,1,POINT (167.75 -16.58333396911621),Vanuatu
-16.5,167.9166717529297,1,POINT (167.9166717529297 -16.5),Vanuatu
-16.41666603088379,167.3333282470703,1,POINT (167.3333282470703 -16.41666603088379),Vanuatu
-16.83333396911621,168.1666717529297,1,POINT (168.1666717529297 -16.83333396911621),Vanuatu
-16.83333396911621,168.0833282470703,1,POINT (168.0833282470703 -16.83333396911621),Vanuatu
-16.75,168.5,1,POINT (168.5 -16.75),Vanuatu
-16.75,168.4166717529297,1,POINT (168.4166717529297 -16.75),Vanuatu
-16.75,168.0833282470703,1,POINT (168.0833282470703 -16.75),Vanuatu
-16.66666603088379,167.8333282470703,1,POINT (167.8333282470703 -16.66666603088379),Vanuatu
-16.66666603088379,168.0833282470703,1,POINT (168.0833282470703 -16.66666603088379),Vanuatu
-16.66666603088379,168.4166717529297,1,POINT (168.4166717529297 -16.66666603088379),Vanuatu
-16.66666603088379,168.3333282470703,1,POINT (168.3333282470703 -16.66666603088379),Vanuatu
-16.58333396911621,168.4166717529297,1,POINT (168.4166717529297 -16.58333396911621),Vanuatu
-16.58333396911621,168.0833282470703,1,POINT (168.0833282470703 -16.58333396911621),Vanuatu
-16.5,168.1666717529297,1,POINT (168.1666717529297 -16.5),Vanuatu
-16.5,168.0833282470703,1,POINT (168.0833282470703 -16.5),Vanuatu
-16.5,168.4166717529297,1,POINT (168.4166717529297 -16.5),Vanuatu
-16.41666603088379,168.4166717529297,1,POINT (168.4166717529297 -16.41666603088379),Vanuatu
-16.41666603088379,168.1666717529297,1,POINT (168.1666717529297 -16.41666603088379),Vanuatu
-16.41666603088379,168.3333282470703,1,POINT (168.3333282470703 -16.41666603088379),Vanuatu
